hgnc_symbol	gene_biotype	baseMean	log2FoldChange	lfcSE	pvalue	padj	diffexpressed
ENSG00000310526	WASH7P	lncRNA	27.4818195466165	-0.112160510860477	0.182001186946169	0.330873673562265	0.587441445687937	NO
ENSG00000241860	AL627309.5	lncRNA	770.435626250601	-0.0196122783646577	0.148773520427579	0.8505158809636	0.931018087137375	NO
ENSG00000292994		lncRNA	429.185675608459	-0.419726625511908	0.215114522687347	0.00564280638345263	0.0533471730038792	NO
ENSG00000290385		lncRNA	409.466409809278	0.0837873737861343	0.181254045052695	0.43961413817599	0.684393355079303	NO
ENSG00000225880	LINC00115	lncRNA	3400.03473763357	-0.331374594356907	0.0773531120332886	5.62421504208478e-06	0.000396014644460467	NO
ENSG00000237491	LINC01409	lncRNA	796.616018303121	-0.145728967672914	0.135796753133529	0.175971746822007	0.418551286016262	NO
ENSG00000228794	LINC01128	lncRNA	1624.27102507502	-0.190130715207145	0.116342933364022	0.0547045717081001	0.214285017431834	NO
ENSG00000272438	AL645608.7	lncRNA	482.916918584477	0.0612689402497634	0.197085955483169	0.521252778649323	0.742485099755016	NO
ENSG00000223764	LINC02593	lncRNA	802.708275429793	0.0266132872803818	0.202680303827794	0.748271774001759	0.880758328524016	NO
ENSG00000187634	SAMD11	protein_coding	699.551590795621	0.068286116048008	0.198531689937946	0.4808035508512	0.714128787302885	NO
ENSG00000188976	NOC2L	protein_coding	1561.4680814784	0.158869959089644	0.115594183348754	0.106130943051028	0.31314155853337	NO
ENSG00000187961	KLHL17	protein_coding	252.096994941092	0.385421220644972	0.196055002131114	0.00678579895088069	0.0598034779946	NO
ENSG00000187583	PLEKHN1	protein_coding	404.324625739456	-0.267510111047478	0.172631520189694	0.0342853341150385	0.164180483776267	NO
ENSG00000187642	PERM1	protein_coding	41.0532564984797	0.0196213911591548	0.204510703136749	0.808663514984588	0.910913855932856	NO
ENSG00000303599		lncRNA	33.3822633432424	-0.0035019720460707	0.207980455336622	0.942475383317803	0.973841351169783	NO
ENSG00000272512	AL645608.8	lncRNA	240.915249223923	-0.182710753135985	0.203805627798911	0.134800515278943	0.359862658652986	NO
ENSG00000188290	HES4	protein_coding	217.171532964487	0.155572371442161	0.189328253096446	0.19119155368004	0.438300438428095	NO
ENSG00000187608	ISG15	protein_coding	639.975672429454	-0.00829840605926657	0.149960883108851	0.936786764739916	0.970424191584538	NO
ENSG00000188157	AGRN	protein_coding	5843.16092332757	0.101627309562681	0.138288643866898	0.345592433341286	0.60139909040974	NO
ENSG00000291156		lncRNA	74.2936254211603	-0.023655120354901	0.204571994980285	0.742253788555146	0.877826542639791	NO
ENSG00000304119		lncRNA	245.970443041064	-0.232479723017873	0.197023088143875	0.07136006127586	0.251125354703104	NO
ENSG00000304169		lncRNA	30.014200090068	0.0228969948635368	0.203210840773693	0.765321198938996	0.889879842389095	NO
ENSG00000237330	RNF223	protein_coding	90.7131387994953	-0.0630760851768573	0.207815426998798	0.44180776019834	0.685854527044153	NO
ENSG00000131591	C1orf159	protein_coding	4241.92422346796	0.0303759269887156	0.115696535030309	0.75739094462184	0.88607665813978	NO
ENSG00000285812		lncRNA	19.2173464577804	-0.0734392845325264	0.224620081216128	0.266196776790483	0.524744168212748	NO
ENSG00000223823	LINC01342	lncRNA	112.65715974372	-0.254751163830965	0.368017679756393	0.0240316602455642	0.131825079947389	NO
ENSG00000272141	AL390719.2	lncRNA	201.279977736826	-0.16289004069177	0.207356702428292	0.165441342383582	0.403976381294393	NO
ENSG00000162571	TTLL10	protein_coding	368.891683849319	-0.451295861279492	0.258437880492062	0.00639097196951191	0.0573309057408568	NO
ENSG00000186891	TNFRSF18	protein_coding	115.238215178662	0.473975710881734	0.272644094998318	0.00605154305191209	0.0553571789674524	NO
ENSG00000186827	TNFRSF4	protein_coding	44.6107303157727	0.842952332971153	0.456219155535956	0.00104925626923626	0.0174998768717212	UP
ENSG00000078808	SDF4	protein_coding	1842.15804830414	0.131345913013775	0.138387002098032	0.226372782698583	0.480960121114576	NO
ENSG00000176022	B3GALT6	protein_coding	389.421525523057	0.217292559946752	0.173768138007041	0.0793421798888263	0.266462298020599	NO
ENSG00000184163	C1QTNF12	protein_coding	66.1101190008648	0.134580075214924	0.181842757606949	0.251954366334322	0.509757673315692	NO
ENSG00000260179	AL162741.1	lncRNA	82.5405346661448	-0.235548301342459	0.193120766110242	0.0701387132112468	0.248941519925743	NO
