"module","n_genes","n_UP","n_DOWN","p_UP","p_DOWN","FDR_UP","FDR_DOWN"
"black",1051,6,3,0.019329033134749,0.307241293167476,0.0998006159565028,1
"blue",3177,2,2,0.991249947591482,0.985123929199853,1,1
"brown",1828,3,2,0.726167268508274,0.860069128751403,1,1
"cyan",512,0,1,1,0.615486575117433,1,1
"darkgreen",299,1,0,0.456944682397342,1,1,1
"darkmagenta",159,1,0,0.276635267236131,1,0.88654318154371,1
"darkorange",259,3,2,0.0157064017181225,0.0828907065441649,0.0998006159565028,0.497344239264989
"green",2630,1,3,0.996351117668627,0.876013311930253,1,1
"greenyellow",1294,2,3,0.745160160852958,0.430440880023815,1,1
"lightcyan",471,1,1,0.618940518436536,0.584626249354842,1,1
"lightyellow",370,1,0,0.530696709676343,1,1,1
"magenta",1359,1,0,0.941003329650732,1,1,1
"pink",1034,0,10,1,1.64566325427859e-05,1,0.000296219385770147
"purple",738,7,0,0.000705515475769341,1,0.0126992785638481,1
"saddlebrown",203,1,0,0.338860295871077,1,0.88654318154371,1
"skyblue3",146,0,1,1,0.237173733513214,1,1
"turquoise",3275,8,12,0.344766792822554,0.014453499005979,0.88654318154371,0.130081491053811
"yellow",1722,8,1,0.0221779146570006,0.962685877041743,0.0998006159565028,1
