"module","lncRNA","protein_coding","other_ncRNA","mapped_total","pct_lncRNA","pct_coding"
"purple",692,46,0,738,93.8,6.2
"darkolivegreen",124,40,0,164,75.6,24.4
"grey",1453,612,0,2065,70.4,29.6
"blue",1841,1336,0,3177,57.9,42.1
"darkorange",129,130,0,259,49.8,50.2
"turquoise",1625,1650,0,3275,49.6,50.4
"greenyellow",625,669,0,1294,48.3,51.7
"black",506,545,0,1051,48.1,51.9
"yellow",805,917,0,1722,46.7,53.3
"brown",852,976,0,1828,46.6,53.4
"violet",86,102,0,188,45.7,54.3
"darkred",128,205,0,333,38.4,61.6
"lightcyan",175,296,0,471,37.2,62.8
"pink",369,665,0,1034,35.7,64.3
"magenta",468,891,0,1359,34.4,65.6
"cyan",169,343,0,512,33,67
"grey60",128,275,0,403,31.8,68.2
"green",830,1800,0,2630,31.6,68.4
"salmon",161,416,0,577,27.9,72.1
"royalblue",86,276,0,362,23.8,76.2
"sienna3",37,121,0,158,23.4,76.6
"darkgrey",62,217,0,279,22.2,77.8
"steelblue",44,156,0,200,22,78
"mediumpurple3",22,85,0,107,20.6,79.4
"orange",54,215,0,269,20.1,79.9
"darkgreen",55,244,0,299,18.4,81.6
"lightsteelblue1",18,86,0,104,17.3,82.7
"yellowgreen",26,126,0,152,17.1,82.9
"orangered4",21,109,0,130,16.2,83.8
"lightyellow",58,312,0,370,15.7,84.3
"skyblue3",21,125,0,146,14.4,85.6
"saddlebrown",28,175,0,203,13.8,86.2
"darkmagenta",20,139,0,159,12.6,87.4
"white",30,224,0,254,11.8,88.2
"darkturquoise",74,596,0,670,11,89
"lightcyan1",8,90,0,98,8.2,91.8
"skyblue",17,210,0,227,7.5,92.5
"plum1",10,136,0,146,6.8,93.2
"paleturquoise",1,188,0,189,0.5,99.5
