"module","rank","gene_id","gene_symbol","intramod_conn"
"brown",1,"ENSG00000187720","THSD4",42.5429
"brown",2,"ENSG00000120262","CCDC170",40.3655
"brown",3,"ENSG00000196932","TMEM26",38.9532
"brown",4,"ENSG00000091831","ESR1",34.4565
"brown",5,"ENSG00000151892","GFRA1",32.9279
"brown",6,"ENSG00000278570","NR2E3",32.7367
"brown",7,"ENSG00000171791","BCL2",31.6659
"brown",8,"ENSG00000113739","STC2",31.6451
"brown",9,"ENSG00000303631","ENSG00000303631",29.8366
"brown",10,"ENSG00000123066","MED13L",29.7716
"brown",11,"ENSG00000233006","MIR3936HG",29.686
"brown",12,"ENSG00000230490","AL139383.1",28.9625
"brown",13,"ENSG00000127663","KDM4B",28.7521
"brown",14,"ENSG00000303652","ENSG00000303652",28.516
"brown",15,"ENSG00000074410","CA12",28.3364
"brown",16,"ENSG00000109436","TBC1D9",28.0302
"brown",17,"ENSG00000088543","C3orf18",27.889
"brown",18,"ENSG00000134830","C5AR2",27.2003
"brown",19,"ENSG00000260037","AC104938.1",26.5998
"brown",20,"ENSG00000124171","PARD6B",26.2737
"brown",21,"ENSG00000136068","FLNB",25.6428
"brown",22,"ENSG00000187123","LYPD6",25.2404
"brown",23,"ENSG00000107485","GATA3",25.2319
"brown",24,"ENSG00000251141","MRPS30-DT",25.1437
"brown",25,"ENSG00000114988","LMAN2L",24.6993
"brown",26,"ENSG00000196372","ASB13",24.2418
"brown",27,"ENSG00000175920","DOK7",23.9428
"brown",28,"ENSG00000140479","PCSK6",23.9031
"brown",29,"ENSG00000224260","AL023754.1",23.796
"brown",30,"ENSG00000197375","SLC22A5",23.7411
"violet",1,"ENSG00000007202","BLTP2",3.894
"violet",2,"ENSG00000132581","SDF2",3.8564
"violet",3,"ENSG00000109111","SUPT6H",3.8057
"violet",4,"ENSG00000131748","STARD3",3.7269
"violet",5,"ENSG00000161395","PGAP3",3.6229
"violet",6,"ENSG00000132589","FLOT2",3.5596
"violet",7,"ENSG00000141736","ERBB2",3.549
"violet",8,"ENSG00000004142","POLDIP2",3.5091
"violet",9,"ENSG00000141738","GRB7",3.392
"violet",10,"ENSG00000109079","TNFAIP1",3.21
"violet",11,"ENSG00000076604","TRAF4",3.1847
"violet",12,"ENSG00000173065","FAM222B",3.1047
"violet",13,"ENSG00000141741","MIEN1",2.9359
"violet",14,"ENSG00000167258","CDK12",2.8265
"violet",15,"ENSG00000109118","PHF12",2.6651
"violet",16,"ENSG00000132591","ERAL1",2.6476
"violet",17,"ENSG00000125686","MED1",2.609
