fromNode	toNode	weight	direction	fromAltName	toAltName
FBXL17	TRIM23	0.0423735379579688	undirected	NA	NA
FBXL17	YTHDC2	0.0447904569330691	undirected	NA	NA
FBXL17	SREK1	0.042192446614443	undirected	NA	NA
FBXL17	ARB2A	0.0470785136985604	undirected	NA	NA
FBXL17	ERBIN	0.0562909302917856	undirected	NA	NA
FBXL17	COMMD10	0.0334133165086758	undirected	NA	NA
FBXL17	PPWD1	0.0505857668399898	undirected	NA	NA
FBXL17	PGGT1B	0.0550012314264291	undirected	NA	NA
FBXL17	SREK1IP1	0.0401744033200365	undirected	NA	NA
FBXL17	TMEM161B	0.0374540783058986	undirected	NA	NA
FBXL17	CWC27	0.0445961398388847	undirected	NA	NA
FBXL17	POLK	0.0373965946157655	undirected	NA	NA
FBXL17	SCAMP1	0.0280110589291357	undirected	NA	NA
FBXL17	TENT2	0.027042216605133	undirected	NA	NA
FBXL17	TRAPPC13	0.0381227566614293	undirected	NA	NA
FBXL17	GIN1	0.0470386905404875	undirected	NA	NA
FBXL17	ATG12	0.0352796745926938	undirected	NA	NA
FBXL17	DCTN4	0.0345079773749748	undirected	NA	NA
FBXL17	PJA2	0.053375342883783	undirected	NA	NA
FBXL17	SLC25A46	0.0326418684940999	undirected	NA	NA
FBXL17	TBCA	0.031039061682353	undirected	NA	NA
FBXL17	CSNK1G3	0.0522764231884052	undirected	NA	NA
FBXL17	CCNH	0.0392338694088515	undirected	NA	NA
FBXL17	FAM174A	0.0342902758324222	undirected	NA	NA
FBXL17	MSH3	0.0406062690382425	undirected	NA	NA
FBXL17	CEP120	0.0268245560374843	undirected	NA	NA
FBXL17	MIER3	0.0306431387079384	undirected	NA	NA
FBXL17	FAM13B	0.02877725182571	undirected	NA	NA
FBXL17	GPBP1	0.0313666985678353	undirected	NA	NA
TRIM23	YTHDC2	0.0522150396440655	undirected	NA	NA
TRIM23	SREK1	0.0569479516473946	undirected	NA	NA
TRIM23	ARB2A	0.0502556876168036	undirected	NA	NA
TRIM23	ERBIN	0.053284927039202	undirected	NA	NA
TRIM23	COMMD10	0.0330185970351308	undirected	NA	NA
TRIM23	PPWD1	0.0608582972570621	undirected	NA	NA
TRIM23	PGGT1B	0.0531919309870806	undirected	NA	NA
TRIM23	SREK1IP1	0.0432737955125629	undirected	NA	NA
TRIM23	TMEM161B	0.0439867802929629	undirected	NA	NA
TRIM23	CWC27	0.0492478756957228	undirected	NA	NA
TRIM23	POLK	0.0403585549150595	undirected	NA	NA
TRIM23	SCAMP1	0.0321987202858676	undirected	NA	NA
TRIM23	TENT2	0.0309215972435395	undirected	NA	NA
TRIM23	TRAPPC13	0.0467084230906582	undirected	NA	NA
TRIM23	GIN1	0.0645312415643091	undirected	NA	NA
TRIM23	ATG12	0.0312433051051891	undirected	NA	NA
TRIM23	DCTN4	0.0309714853039726	undirected	NA	NA
TRIM23	PJA2	0.0582881500500963	undirected	NA	NA
TRIM23	SLC25A46	0.0329189834446849	undirected	NA	NA
TRIM23	TBCA	0.0307566017071131	undirected	NA	NA
TRIM23	CSNK1G3	0.0439302314137911	undirected	NA	NA
TRIM23	CCNH	0.0424616339129861	undirected	NA	NA
TRIM23	FAM174A	0.0316086693588961	undirected	NA	NA
TRIM23	MSH3	0.0442963436677445	undirected	NA	NA
TRIM23	CEP120	0.022909637607729	undirected	NA	NA
TRIM23	MIER3	0.0322206120000966	undirected	NA	NA
TRIM23	FAM13B	0.0310737726369041	undirected	NA	NA
TRIM23	GPBP1	0.02568003355909	undirected	NA	NA
YTHDC2	SREK1	0.0648548629461505	undirected	NA	NA
YTHDC2	ARB2A	0.0624002772194417	undirected	NA	NA
YTHDC2	ERBIN	0.0754975622824165	undirected	NA	NA
YTHDC2	COMMD10	0.0604275611284324	undirected	NA	NA
YTHDC2	PPWD1	0.0778099441567999	undirected	NA	NA
