fromNode	toNode	weight	direction	fromAltName	toAltName
OPA1	ZNF148	0.0241501195437977	undirected	NA	NA
OPA1	U2SURP	0.0293422211075947	undirected	NA	NA
OPA1	SEC22A	0.0281245641667557	undirected	NA	NA
OPA1	DHX36	0.0244628404648139	undirected	NA	NA
OPA1	MRPL3	0.0274133574034619	undirected	NA	NA
OPA1	RYK	0.0298200129799828	undirected	NA	NA
OPA1	KPNA1	0.023647959489599	undirected	NA	NA
OPA1	GSK3B	0.0280262593264576	undirected	NA	NA
OPA1	SLC25A36	0.0234537693436974	undirected	NA	NA
OPA1	TBC1D23	0.0264225414743957	undirected	NA	NA
OPA1	KPNA4	0.0240246222593316	undirected	NA	NA
OPA1	NAA50	0.0271026470490855	undirected	NA	NA
OPA1	RASA2	0.0249050537277003	undirected	NA	NA
OPA1	PDCD10	0.0246240736974216	undirected	NA	NA
OPA1	ACAP2	0.0254761290225684	undirected	NA	NA
OPA1	SNX4	0.0212834123367111	undirected	NA	NA
OPA1	OSBPL11	0.0251937070235133	undirected	NA	NA
OPA1	ATR	0.0267813450637357	undirected	NA	NA
OPA1	FXR1	0.0288267575908003	undirected	NA	NA
OPA1	FAM199X	0.0225210005152009	undirected	NA	NA
OPA1	MIX23	0.0210833842709601	undirected	NA	NA
OPA1	TRA2B	0.0235904526627837	undirected	NA	NA
OPA1	XRN1	0.0277143387369431	undirected	NA	NA
OPA1	NCK1	0.0336106143461015	undirected	NA	NA
OPA1	RNF13	0.026308505292291	undirected	NA	NA
OPA1	NEPRO	0.0224199285557642	undirected	NA	NA
ZNF148	U2SURP	0.0272619750053639	undirected	NA	NA
ZNF148	SEC22A	0.0309994748433134	undirected	NA	NA
ZNF148	ARMC8	0.0286531825538998	undirected	NA	NA
ZNF148	DHX36	0.0483970026408383	undirected	NA	NA
ZNF148	MRPL3	0.0369181053662344	undirected	NA	NA
ZNF148	RYK	0.0619558967729249	undirected	NA	NA
ZNF148	KPNA1	0.0457666117066966	undirected	NA	NA
ZNF148	GSK3B	0.0306176874243595	undirected	NA	NA
ZNF148	SLC25A36	0.0305456808426787	undirected	NA	NA
ZNF148	TBC1D23	0.0308108933385298	undirected	NA	NA
ZNF148	KPNA4	0.0373674610117232	undirected	NA	NA
ZNF148	RASA2	0.031007994621173	undirected	NA	NA
ZNF148	PDCD10	0.0294336786940068	undirected	NA	NA
ZNF148	ACAP2	0.0251494779147303	undirected	NA	NA
ZNF148	OSBPL11	0.0365903600318114	undirected	NA	NA
ZNF148	FXR1	0.0297127346170604	undirected	NA	NA
ZNF148	MIX23	0.0207335125513211	undirected	NA	NA
ZNF148	NCK1	0.0412363301897511	undirected	NA	NA
ZNF148	RNF13	0.0211827007808965	undirected	NA	NA
ZNF148	DLG1	0.0240214708652149	undirected	NA	NA
U2SURP	SEC22A	0.0404258478961993	undirected	NA	NA
U2SURP	DHX36	0.0249973157641466	undirected	NA	NA
U2SURP	MRPL3	0.0232147990329936	undirected	NA	NA
U2SURP	RYK	0.0295478462231483	undirected	NA	NA
U2SURP	KPNA1	0.0251333835623138	undirected	NA	NA
U2SURP	GSK3B	0.0383832877507864	undirected	NA	NA
U2SURP	SLC25A36	0.0316544563012276	undirected	NA	NA
U2SURP	TBC1D23	0.0353642376616139	undirected	NA	NA
U2SURP	KPNA4	0.021180483292292	undirected	NA	NA
U2SURP	NAA50	0.0221128346390004	undirected	NA	NA
U2SURP	SNX4	0.0211670778874685	undirected	NA	NA
U2SURP	ATR	0.0200028777555576	undirected	NA	NA
U2SURP	FAM199X	0.0225291410498848	undirected	NA	NA
U2SURP	NCK1	0.0401715852370523	undirected	NA	NA
U2SURP	RNF13	0.024754247810084	undirected	NA	NA
SEC22A	DHX36	0.0430216820819721	undirected	NA	NA
SEC22A	MRPL3	0.0334567534958438	undirected	NA	NA
SEC22A	RYK	0.0424922157694475	undirected	NA	NA
SEC22A	KPNA1	0.0448624042341373	undirected	NA	NA
SEC22A	GSK3B	0.0456192620789424	undirected	NA	NA
SEC22A	SLC25A36	0.0352393656363462	undirected	NA	NA
SEC22A	TBC1D23	0.0559884057064655	undirected	NA	NA
SEC22A	KPNA4	0.030702140391312	undirected	NA	NA
SEC22A	NAA50	0.0265813909893763	undirected	NA	NA
SEC22A	RASA2	0.0243752877419786	undirected	NA	NA
SEC22A	ACAP2	0.0288034209289466	undirected	NA	NA
SEC22A	SNX4	0.0237657349056156	undirected	NA	NA
SEC22A	OSBPL11	0.021368432375042	undirected	NA	NA
SEC22A	ATR	0.0249859822384578	undirected	NA	NA
SEC22A	FXR1	0.0231068840985469	undirected	NA	NA
SEC22A	FAM199X	0.0343757237314438	undirected	NA	NA
SEC22A	XRN1	0.0221065488375771	undirected	NA	NA
SEC22A	NCK1	0.0378013433996586	undirected	NA	NA
SEC22A	RNF13	0.0277382861024581	undirected	NA	NA
SEC22A	NEPRO	0.0229467374222889	undirected	NA	NA
ARMC8	DHX36	0.0323979617008514	undirected	NA	NA
ARMC8	MRPL3	0.0281516407625888	undirected	NA	NA
ARMC8	RYK	0.0388551459938004	undirected	NA	NA
ARMC8	KPNA1	0.0437217153511474	undirected	NA	NA
ARMC8	GSK3B	0.0230786029435032	undirected	NA	NA
ARMC8	SLC25A36	0.0238519726016773	undirected	NA	NA
ARMC8	TBC1D23	0.0260552015687225	undirected	NA	NA
ARMC8	KPNA4	0.0321459334779508	undirected	NA	NA
ARMC8	RASA2	0.0241235914519766	undirected	NA	NA
ARMC8	PDCD10	0.0255784881134525	undirected	NA	NA
ARMC8	DNAJC13	0.0213351482290644	undirected	NA	NA
ARMC8	SNX4	0.0285789590236158	undirected	NA	NA
ARMC8	OSBPL11	0.02479738817201	undirected	NA	NA
ARMC8	ATR	0.0233511240397169	undirected	NA	NA
ARMC8	FXR1	0.0232513418193712	undirected	NA	NA
ARMC8	NCK1	0.0212963089821842	undirected	NA	NA
ARMC8	RNF13	0.0227496575926775	undirected	NA	NA
ARMC8	DLG1	0.0200792937718888	undirected	NA	NA
