fromNode	toNode	weight	direction	fromAltName	toAltName
SETD2	RBM6	0.07770108257901	undirected	NA	NA
SETD2	TASOR	0.0461547443105953	undirected	NA	NA
SETD2	CLASP2	0.0419489240804706	undirected	NA	NA
SETD2	DENND6A	0.0443098570195293	undirected	NA	NA
SETD2	CCDC66	0.03808751936715	undirected	NA	NA
SETD2	NEK4	0.0376232313306509	undirected	NA	NA
SETD2	SACM1L	0.0635939799041335	undirected	NA	NA
SETD2	PDCD6IP	0.0382266757638315	undirected	NA	NA
SETD2	NKTR	0.0336336150501286	undirected	NA	NA
SETD2	SHQ1	0.0314574343158461	undirected	NA	NA
SETD2	SLMAP	0.0514355676119317	undirected	NA	NA
SETD2	DCP1A	0.0333621726343835	undirected	NA	NA
SETD2	RBM5	0.0441866092069899	undirected	NA	NA
SETD2	SFMBT1	0.0320785805782552	undirected	NA	NA
SETD2	APPL1	0.0408775097057421	undirected	NA	NA
SETD2	PBRM1	0.0488920995557765	undirected	NA	NA
SETD2	DCAF1	0.0468568804631983	undirected	NA	NA
SETD2	UBA3	0.0395841367672054	undirected	NA	NA
SETD2	THOC7	0.0544920292094739	undirected	NA	NA
SETD2	OXSR1	0.054167348270634	undirected	NA	NA
SETD2	KLHL18	0.0365552593427311	undirected	NA	NA
SETD2	RAD54L2	0.0550217595769905	undirected	NA	NA
SETD2	CGGBP1	0.0351281665531494	undirected	NA	NA
SETD2	SUCLG2	0.0354259085553709	undirected	NA	NA
SETD2	GOLGA4	0.0247535263451787	undirected	NA	NA
SETD2	UBP1	0.0352939454967235	undirected	NA	NA
SETD2	PRKAR2A	0.032755416630105	undirected	NA	NA
SETD2	ARIH2	0.0366152946430412	undirected	NA	NA
SETD2	TMF1	0.0379100012449723	undirected	NA	NA
RBM6	TASOR	0.0694104157054592	undirected	NA	NA
RBM6	CLASP2	0.0658720181763106	undirected	NA	NA
RBM6	DENND6A	0.0610575319268719	undirected	NA	NA
RBM6	CCDC66	0.0636934702005127	undirected	NA	NA
RBM6	NEK4	0.0587762299141785	undirected	NA	NA
RBM6	SACM1L	0.0706736117543964	undirected	NA	NA
RBM6	PDCD6IP	0.0520056661275338	undirected	NA	NA
RBM6	NKTR	0.0435375284671881	undirected	NA	NA
RBM6	SHQ1	0.0456810651829081	undirected	NA	NA
RBM6	SLMAP	0.0666637114816822	undirected	NA	NA
RBM6	DCP1A	0.054144400184325	undirected	NA	NA
RBM6	RBM5	0.0619370290072646	undirected	NA	NA
RBM6	SFMBT1	0.0426189893059386	undirected	NA	NA
RBM6	APPL1	0.0550234156761184	undirected	NA	NA
RBM6	PBRM1	0.0617973010923921	undirected	NA	NA
RBM6	DCAF1	0.0538427542386549	undirected	NA	NA
RBM6	UBA3	0.0654048098348976	undirected	NA	NA
RBM6	THOC7	0.062340225825594	undirected	NA	NA
RBM6	OXSR1	0.0711506112834762	undirected	NA	NA
RBM6	KLHL18	0.0610783742699429	undirected	NA	NA
RBM6	RAD54L2	0.0746417374348485	undirected	NA	NA
RBM6	CGGBP1	0.0604611970162068	undirected	NA	NA
RBM6	SUCLG2	0.0637627882303991	undirected	NA	NA
RBM6	GOLGA4	0.0500574833272298	undirected	NA	NA
RBM6	UBP1	0.0520354378356582	undirected	NA	NA
RBM6	PRKAR2A	0.0540605694456251	undirected	NA	NA
RBM6	ARIH2	0.0554483103022786	undirected	NA	NA
RBM6	TMF1	0.0484865248143592	undirected	NA	NA
TASOR	CLASP2	0.0650174396757214	undirected	NA	NA
TASOR	DENND6A	0.0821049330450829	undirected	NA	NA
TASOR	CCDC66	0.063400177468349	undirected	NA	NA
TASOR	NEK4	0.0647012633299319	undirected	NA	NA
TASOR	SACM1L	0.0911928625023614	undirected	NA	NA
TASOR	PDCD6IP	0.0566313579628545	undirected	NA	NA
TASOR	NKTR	0.0569508769540649	undirected	NA	NA
TASOR	SHQ1	0.0445191417349675	undirected	NA	NA
TASOR	SLMAP	0.0728712112427475	undirected	NA	NA
TASOR	DCP1A	0.0464053133967939	undirected	NA	NA
TASOR	RBM5	0.0610802404105172	undirected	NA	NA
TASOR	SFMBT1	0.0522797598286322	undirected	NA	NA
TASOR	APPL1	0.0762963785251172	undirected	NA	NA
TASOR	PBRM1	0.0556458576809076	undirected	NA	NA
TASOR	DCAF1	0.0480986277705633	undirected	NA	NA
TASOR	UBA3	0.0469962034894195	undirected	NA	NA
TASOR	THOC7	0.0589328933134843	undirected	NA	NA
TASOR	OXSR1	0.0748181938313834	undirected	NA	NA
TASOR	KLHL18	0.050451098395299	undirected	NA	NA
TASOR	RAD54L2	0.0737105456735561	undirected	NA	NA
TASOR	CGGBP1	0.0506612927950575	undirected	NA	NA
TASOR	SUCLG2	0.052869295939698	undirected	NA	NA
TASOR	GOLGA4	0.0392416309980268	undirected	NA	NA
TASOR	UBP1	0.0594338931266245	undirected	NA	NA
TASOR	PRKAR2A	0.0581129484747814	undirected	NA	NA
TASOR	ARIH2	0.0525654304748705	undirected	NA	NA
TASOR	TMF1	0.0423750837580339	undirected	NA	NA
CLASP2	DENND6A	0.0537185135948131	undirected	NA	NA
CLASP2	CCDC66	0.0650568830649448	undirected	NA	NA
CLASP2	NEK4	0.0524085436080981	undirected	NA	NA
CLASP2	SACM1L	0.0834162418538573	undirected	NA	NA
CLASP2	PDCD6IP	0.0396093129642852	undirected	NA	NA
CLASP2	NKTR	0.0425780992868966	undirected	NA	NA
CLASP2	SHQ1	0.0325023183317364	undirected	NA	NA
CLASP2	SLMAP	0.0661059579874725	undirected	NA	NA
CLASP2	DCP1A	0.0456245874363502	undirected	NA	NA
CLASP2	RBM5	0.0410448138835821	undirected	NA	NA
CLASP2	SFMBT1	0.0361630305610232	undirected	NA	NA
CLASP2	APPL1	0.0441525598880477	undirected	NA	NA
CLASP2	PBRM1	0.054023557694467	undirected	NA	NA
CLASP2	DCAF1	0.0563522515244374	undirected	NA	NA
CLASP2	UBA3	0.0398525566571473	undirected	NA	NA
CLASP2	THOC7	0.0514456170476031	undirected	NA	NA
CLASP2	OXSR1	0.0573291090759531	undirected	NA	NA
CLASP2	KLHL18	0.0374447019284961	undirected	NA	NA
CLASP2	RAD54L2	0.0580817542441267	undirected	NA	NA
CLASP2	CGGBP1	0.0412390662664778	undirected	NA	NA
CLASP2	SUCLG2	0.0318721569120071	undirected	NA	NA
CLASP2	GOLGA4	0.0310244590936303	undirected	NA	NA
CLASP2	UBP1	0.0459932306294028	undirected	NA	NA
CLASP2	PRKAR2A	0.0343248219041435	undirected	NA	NA
CLASP2	ARIH2	0.0448543035096163	undirected	NA	NA
CLASP2	TMF1	0.032219620390689	undirected	NA	NA
DENND6A	CCDC66	0.0661391180183899	undirected	NA	NA
DENND6A	NEK4	0.0846040586336763	undirected	NA	NA
DENND6A	SACM1L	0.113283878581038	undirected	NA	NA
DENND6A	PDCD6IP	0.0442820602837763	undirected	NA	NA
DENND6A	NKTR	0.0430747943348144	undirected	NA	NA
DENND6A	SHQ1	0.031294875490389	undirected	NA	NA
DENND6A	SLMAP	0.0853859408260168	undirected	NA	NA
DENND6A	DCP1A	0.0523785501270894	undirected	NA	NA
DENND6A	RBM5	0.0454144467363969	undirected	NA	NA
DENND6A	SFMBT1	0.0440057038747272	undirected	NA	NA
DENND6A	APPL1	0.0543520653894485	undirected	NA	NA
DENND6A	PBRM1	0.0673524296498644	undirected	NA	NA
DENND6A	DCAF1	0.0451461352470067	undirected	NA	NA
DENND6A	UBA3	0.0546889906099792	undirected	NA	NA
DENND6A	THOC7	0.0664437576400498	undirected	NA	NA
DENND6A	OXSR1	0.0901812793028777	undirected	NA	NA
DENND6A	KLHL18	0.0637324539003621	undirected	NA	NA
DENND6A	RAD54L2	0.0869069808010724	undirected	NA	NA
DENND6A	CGGBP1	0.0604068114313315	undirected	NA	NA
DENND6A	SUCLG2	0.0528190755516312	undirected	NA	NA
DENND6A	GOLGA4	0.0392637203836414	undirected	NA	NA
DENND6A	UBP1	0.0368105960383436	undirected	NA	NA
DENND6A	PRKAR2A	0.0606140738193081	undirected	NA	NA
DENND6A	ARIH2	0.0550449794635792	undirected	NA	NA
DENND6A	TMF1	0.0417925746007576	undirected	NA	NA
CCDC66	NEK4	0.0637368077197076	undirected	NA	NA
CCDC66	SACM1L	0.0853549725333144	undirected	NA	NA
CCDC66	PDCD6IP	0.0605691150453108	undirected	NA	NA
CCDC66	NKTR	0.0616018565739018	undirected	NA	NA
CCDC66	SHQ1	0.0525537540044023	undirected	NA	NA
CCDC66	SLMAP	0.0711535987438723	undirected	NA	NA
CCDC66	DCP1A	0.0495578101214225	undirected	NA	NA
CCDC66	RBM5	0.0640367125091772	undirected	NA	NA
CCDC66	SFMBT1	0.057506845677625	undirected	NA	NA
CCDC66	APPL1	0.0713891802401047	undirected	NA	NA
CCDC66	PBRM1	0.0536797178652053	undirected	NA	NA
CCDC66	DCAF1	0.0528990534936676	undirected	NA	NA
