fromNode	toNode	weight	direction	fromAltName	toAltName
DLAT	RNF214	0.0404238141588307	undirected	NA	NA
DLAT	NKAPD1	0.0440549075338781	undirected	NA	NA
DLAT	ZW10	0.0745443123122532	undirected	NA	NA
DLAT	ZBTB44	0.0271108891889667	undirected	NA	NA
DLAT	AASDHPPT	0.0247709501887553	undirected	NA	NA
DLAT	BUD13	0.0691635950610047	undirected	NA	NA
DLAT	CUL5	0.0229801766297155	undirected	NA	NA
DLAT	USP28	0.0288571809854012	undirected	NA	NA
DLAT	DDX10	0.0407861674500934	undirected	NA	NA
DLAT	ARHGEF12	0.0349157827140616	undirected	NA	NA
DLAT	UBE4A	0.0429449330819358	undirected	NA	NA
DLAT	PAFAH1B2	0.0358670941375856	undirected	NA	NA
DLAT	KMT2A	0.0427393398769431	undirected	NA	NA
DLAT	ATM	0.0301225197290189	undirected	NA	NA
DLAT	SNX19	0.0215546538091602	undirected	NA	NA
DLAT	CEP57	0.0292463290125824	undirected	NA	NA
RNF214	NKAPD1	0.0313656762939142	undirected	NA	NA
RNF214	ZW10	0.036032842602853	undirected	NA	NA
RNF214	ZBTB44	0.0338272263384262	undirected	NA	NA
RNF214	BUD13	0.0404015988902669	undirected	NA	NA
RNF214	CUL5	0.0228892000139852	undirected	NA	NA
RNF214	USP28	0.0236575870662964	undirected	NA	NA
RNF214	DDX10	0.0240439117864941	undirected	NA	NA
RNF214	PAFAH1B2	0.0237018149959854	undirected	NA	NA
RNF214	ATM	0.0259544695515496	undirected	NA	NA
RNF214	SNX19	0.0218657721777784	undirected	NA	NA
DCUN1D5	NKAPD1	0.0419884547253044	undirected	NA	NA
DCUN1D5	ZW10	0.0321774717173752	undirected	NA	NA
DCUN1D5	AASDHPPT	0.0361756018081883	undirected	NA	NA
DCUN1D5	BUD13	0.0265129451156286	undirected	NA	NA
DCUN1D5	CUL5	0.0278913842288367	undirected	NA	NA
DCUN1D5	USP28	0.0304243392555678	undirected	NA	NA
