fromNode	toNode	weight	direction	fromAltName	toAltName
DYNC1LI2	IST1	0.123923739480272	undirected	NA	NA
DYNC1LI2	CNOT1	0.0882663536343116	undirected	NA	NA
DYNC1LI2	CSNK2A2	0.103215158801818	undirected	NA	NA
DYNC1LI2	AP1G1	0.0791345329440875	undirected	NA	NA
DYNC1LI2	RFWD3	0.114165351849089	undirected	NA	NA
DYNC1LI2	NUP93	0.115161372474053	undirected	NA	NA
DYNC1LI2	CFDP1	0.106491381469471	undirected	NA	NA
DYNC1LI2	SF3B3	0.0818749199357393	undirected	NA	NA
DYNC1LI2	GLG1	0.054967529153168	undirected	NA	NA
DYNC1LI2	CIAPIN1	0.0432335042570659	undirected	NA	NA
DYNC1LI2	RANBP10	0.0526907679162196	undirected	NA	NA
DYNC1LI2	WDR59	0.0575784669431287	undirected	NA	NA
DYNC1LI2	WWP2	0.0462050567090991	undirected	NA	NA
DYNC1LI2	USP10	0.0696430616005806	undirected	NA	NA
DYNC1LI2	ITFG1	0.0536708315621343	undirected	NA	NA
DYNC1LI2	EMC8	0.0439088491282865	undirected	NA	NA
DYNC1LI2	PHKB	0.062444702677438	undirected	NA	NA
DYNC1LI2	CYB5B	0.0710695209693304	undirected	NA	NA
DYNC1LI2	NAE1	0.0878867806100916	undirected	NA	NA
DYNC1LI2	ZCCHC14	0.0442858343783431	undirected	NA	NA
DYNC1LI2	COG4	0.0924296776786191	undirected	NA	NA
DYNC1LI2	ZC3H18	0.0849757857635409	undirected	NA	NA
DYNC1LI2	TERF2	0.0583773432985371	undirected	NA	NA
DYNC1LI2	CNEP1R1	0.101493557680612	undirected	NA	NA
DYNC1LI2	GFOD2	0.0566077305109273	undirected	NA	NA
DYNC1LI2	NFATC3	0.0844860883267329	undirected	NA	NA
DYNC1LI2	CTCF	0.0459858334345631	undirected	NA	NA
DYNC1LI2	PSMD7	0.0528131585895063	undirected	NA	NA
DYNC1LI2	GABARAPL2	0.0415277211669027	undirected	NA	NA
IST1	CNOT1	0.0823684321114326	undirected	NA	NA
IST1	CSNK2A2	0.0922343634211302	undirected	NA	NA
IST1	AP1G1	0.0735297805175302	undirected	NA	NA
IST1	RFWD3	0.106298650912045	undirected	NA	NA
IST1	NUP93	0.107886711035483	undirected	NA	NA
IST1	CFDP1	0.0950665034033278	undirected	NA	NA
IST1	SF3B3	0.0802172281282746	undirected	NA	NA
IST1	GLG1	0.0491030865772242	undirected	NA	NA
IST1	CIAPIN1	0.0385756118012471	undirected	NA	NA
IST1	RANBP10	0.0418204573054294	undirected	NA	NA
IST1	WDR59	0.059225326021849	undirected	NA	NA
IST1	WWP2	0.0450479459663677	undirected	NA	NA
IST1	USP10	0.0717007096515248	undirected	NA	NA
IST1	ITFG1	0.0543559743511674	undirected	NA	NA
IST1	EMC8	0.0370919603780336	undirected	NA	NA
IST1	PHKB	0.0568358871622744	undirected	NA	NA
IST1	CYB5B	0.0639044972253461	undirected	NA	NA
IST1	NAE1	0.0772200058467029	undirected	NA	NA
IST1	ZCCHC14	0.0408010602069028	undirected	NA	NA
IST1	COG4	0.0951113033873413	undirected	NA	NA
IST1	ZC3H18	0.0783550290251924	undirected	NA	NA
IST1	TERF2	0.0537667791134626	undirected	NA	NA
IST1	CNEP1R1	0.0949695694687471	undirected	NA	NA
IST1	GFOD2	0.0532928400444683	undirected	NA	NA
IST1	NFATC3	0.0795733880300728	undirected	NA	NA
IST1	CTCF	0.0384718767505616	undirected	NA	NA
