fromNode	toNode	weight	direction	fromAltName	toAltName
BLTP2	SDF2	0.10923301049691	undirected	NA	NA
BLTP2	SUPT6H	0.146145430189222	undirected	NA	NA
BLTP2	STARD3	0.13453219083897	undirected	NA	NA
BLTP2	PGAP3	0.132914674301168	undirected	NA	NA
BLTP2	FLOT2	0.129576141106443	undirected	NA	NA
BLTP2	ERBB2	0.0633147557314437	undirected	NA	NA
BLTP2	POLDIP2	0.0945223967055522	undirected	NA	NA
BLTP2	GRB7	0.110645076718202	undirected	NA	NA
BLTP2	TNFAIP1	0.0787221173960736	undirected	NA	NA
BLTP2	TRAF4	0.0984205179568479	undirected	NA	NA
BLTP2	FAM222B	0.0858276509493326	undirected	NA	NA
BLTP2	MIEN1	0.0576666429443843	undirected	NA	NA
BLTP2	CDK12	0.0448894569402709	undirected	NA	NA
BLTP2	PHF12	0.0559850771903172	undirected	NA	NA
BLTP2	ERAL1	0.0253140333863459	undirected	NA	NA
BLTP2	MED1	0.0267297633644196	undirected	NA	NA
SDF2	SUPT6H	0.158835995094352	undirected	NA	NA
SDF2	STARD3	0.177343458797123	undirected	NA	NA
SDF2	PGAP3	0.186660795176974	undirected	NA	NA
SDF2	FLOT2	0.173109187916638	undirected	NA	NA
SDF2	ERBB2	0.0981666036296609	undirected	NA	NA
SDF2	POLDIP2	0.129581991709977	undirected	NA	NA
SDF2	GRB7	0.139746459441113	undirected	NA	NA
SDF2	TNFAIP1	0.111579591091469	undirected	NA	NA
SDF2	TRAF4	0.157028100516106	undirected	NA	NA
SDF2	FAM222B	0.128861789534798	undirected	NA	NA
SDF2	MIEN1	0.0945757312715585	undirected	NA	NA
SDF2	CDK12	0.0603075764143843	undirected	NA	NA
SDF2	PHF12	0.0595401916835667	undirected	NA	NA
SDF2	ERAL1	0.0340247712707319	undirected	NA	NA
SDF2	MED1	0.0355408342685645	undirected	NA	NA
SDF2	PSMD3	0.0297221152399267	undirected	NA	NA
SDF2	IFT20	0.0271903741281715	undirected	NA	NA
SDF2	MSL1	0.0332861930444518	undirected	NA	NA
SDF2	FBXL20	0.0277369153574621	undirected	NA	NA
SDF2	CASC3	0.0309084890193176	undirected	NA	NA
SUPT6H	STARD3	0.197560308766311	undirected	NA	NA
SUPT6H	PGAP3	0.220556347566239	undirected	NA	NA
SUPT6H	FLOT2	0.214402984151449	undirected	NA	NA
SUPT6H	ERBB2	0.127384344629188	undirected	NA	NA
SUPT6H	POLDIP2	0.148387113097826	undirected	NA	NA
SUPT6H	GRB7	0.160285553592623	undirected	NA	NA
SUPT6H	TNFAIP1	0.11522252911555	undirected	NA	NA
SUPT6H	TRAF4	0.184153331302177	undirected	NA	NA
SUPT6H	FAM222B	0.1461084013701	undirected	NA	NA
SUPT6H	MIEN1	0.0990141842432308	undirected	NA	NA
SUPT6H	CDK12	0.0759049470683159	undirected	NA	NA
SUPT6H	PHF12	0.0708589645382539	undirected	NA	NA
SUPT6H	ERAL1	0.0264520482707712	undirected	NA	NA
SUPT6H	MED1	0.0315919893360728	undirected	NA	NA
STARD3	PGAP3	0.271430439612015	undirected	NA	NA
STARD3	FLOT2	0.259232219204673	undirected	NA	NA
STARD3	ERBB2	0.162486887326381	undirected	NA	NA
STARD3	POLDIP2	0.175875162096158	undirected	NA	NA
STARD3	GRB7	0.193488086918529	undirected	NA	NA
STARD3	TNFAIP1	0.160239816815076	undirected	NA	NA
STARD3	TRAF4	0.228029512786632	undirected	NA	NA
STARD3	FAM222B	0.18855549075442	undirected	NA	NA
STARD3	MIEN1	0.116311169372005	undirected	NA	NA
STARD3	CDK12	0.0786652968641807	undirected	NA	NA
STARD3	PHF12	0.0639691240484298	undirected	NA	NA
STARD3	ERAL1	0.0243490821735303	undirected	NA	NA
STARD3	MED1	0.0281401157129729	undirected	NA	NA
PGAP3	FLOT2	0.252411575814259	undirected	NA	NA
PGAP3	ERBB2	0.141329907227864	undirected	NA	NA
PGAP3	POLDIP2	0.190813346173577	undirected	NA	NA
PGAP3	GRB7	0.212601474788038	undirected	NA	NA
PGAP3	TNFAIP1	0.173834982757013	undirected	NA	NA
PGAP3	TRAF4	0.205584226177081	undirected	NA	NA
PGAP3	FAM222B	0.19328581316167	undirected	NA	NA
PGAP3	MIEN1	0.11157274073097	undirected	NA	NA
PGAP3	CDK12	0.0655858951769035	undirected	NA	NA
PGAP3	PHF12	0.0659736296400358	undirected	NA	NA
PGAP3	ERAL1	0.0266695434241499	undirected	NA	NA
PGAP3	MED1	0.0284274539881715	undirected	NA	NA
FLOT2	ERBB2	0.15822661655406	undirected	NA	NA
FLOT2	POLDIP2	0.196534404878898	undirected	NA	NA
FLOT2	GRB7	0.206480133841299	undirected	NA	NA
FLOT2	TNFAIP1	0.164879333317631	undirected	NA	NA
FLOT2	TRAF4	0.200018386668384	undirected	NA	NA
FLOT2	FAM222B	0.207109949426455	undirected	NA	NA
FLOT2	MIEN1	0.106481370365961	undirected	NA	NA
FLOT2	CDK12	0.0663281278871479	undirected	NA	NA
FLOT2	PHF12	0.0620976098762222	undirected	NA	NA
FLOT2	ERAL1	0.0241434741828406	undirected	NA	NA
FLOT2	MED1	0.0258770872306209	undirected	NA	NA
ERBB2	POLDIP2	0.163105353432583	undirected	NA	NA
ERBB2	GRB7	0.0869261620241527	undirected	NA	NA
ERBB2	TNFAIP1	0.121563042915802	undirected	NA	NA
ERBB2	TRAF4	0.149027920936726	undirected	NA	NA
