fromNode	toNode	weight	direction	fromAltName	toAltName
HGS	UBE2O	0.0640566603180804	undirected	NA	NA
HGS	GGA3	0.072684950941336	undirected	NA	NA
HGS	SGSH	0.0584622222030759	undirected	NA	NA
HGS	EXOC7	0.0515625128406948	undirected	NA	NA
HGS	SAP30BP	0.0497764682362167	undirected	NA	NA
HGS	CSNK1D	0.0645199378558083	undirected	NA	NA
HGS	RFNG	0.0628997986990517	undirected	NA	NA
HGS	RECQL5	0.0710066370224299	undirected	NA	NA
HGS	SLC38A10	0.0578180133458058	undirected	NA	NA
HGS	RPTOR	0.0760238917203893	undirected	NA	NA
HGS	FAAP100	0.0530487962358839	undirected	NA	NA
HGS	TBCD	0.0541053507711686	undirected	NA	NA
HGS	ASPSCR1	0.0477526611561819	undirected	NA	NA
HGS	EVPL	0.0437868910718968	undirected	NA	NA
HGS	FOXK2	0.0579862094428235	undirected	NA	NA
HGS	LLGL2	0.0480405341886562	undirected	NA	NA
HGS	NPLOC4	0.0416107243887336	undirected	NA	NA
HGS	TMEM94	0.0643935375757249	undirected	NA	NA
HGS	SRP68	0.0697093760308712	undirected	NA	NA
HGS	NAT9	0.0384930792810876	undirected	NA	NA
HGS	CYBC1	0.0491783945079166	undirected	NA	NA
HGS	DUS1L	0.0538047426168082	undirected	NA	NA
HGS	FN3KRP	0.0505913565770369	undirected	NA	NA
HGS	SLC26A11	0.0532027175887518	undirected	NA	NA
HGS	USP36	0.0419304866193199	undirected	NA	NA
HGS	NUP85	0.049994249694071	undirected	NA	NA
HGS	PGS1	0.0627207524356624	undirected	NA	NA
HGS	HEXD	0.0564479239054706	undirected	NA	NA
HGS	CCDC57	0.0575073812281559	undirected	NA	NA
UBE2O	GGA3	0.0794243214113947	undirected	NA	NA
UBE2O	SGSH	0.0548545118867036	undirected	NA	NA
UBE2O	EXOC7	0.0592244836684996	undirected	NA	NA
UBE2O	SAP30BP	0.0647117734578395	undirected	NA	NA
UBE2O	CSNK1D	0.0894799524792183	undirected	NA	NA
UBE2O	RFNG	0.0611112305540731	undirected	NA	NA
UBE2O	RECQL5	0.0855806006710273	undirected	NA	NA
UBE2O	SLC38A10	0.0720166513845767	undirected	NA	NA
UBE2O	RPTOR	0.094245417748294	undirected	NA	NA
UBE2O	FAAP100	0.0600954975607474	undirected	NA	NA
UBE2O	TBCD	0.0634839924762951	undirected	NA	NA
UBE2O	ASPSCR1	0.0645656847379009	undirected	NA	NA
UBE2O	EVPL	0.0459219632499147	undirected	NA	NA
UBE2O	FOXK2	0.0642899848720472	undirected	NA	NA
UBE2O	LLGL2	0.0562389053010678	undirected	NA	NA
UBE2O	NPLOC4	0.0492073383658141	undirected	NA	NA
UBE2O	TMEM94	0.0543004224781745	undirected	NA	NA
UBE2O	SRP68	0.0730908630600259	undirected	NA	NA
UBE2O	NAT9	0.0481498485883852	undirected	NA	NA
UBE2O	CYBC1	0.0584542124278181	undirected	NA	NA
UBE2O	DUS1L	0.0485399054029128	undirected	NA	NA
UBE2O	FN3KRP	0.0409124521227525	undirected	NA	NA
UBE2O	SLC26A11	0.0585816431803486	undirected	NA	NA
UBE2O	USP36	0.0414042000552442	undirected	NA	NA
UBE2O	NUP85	0.0473274822415256	undirected	NA	NA
UBE2O	PGS1	0.0565093846994819	undirected	NA	NA
UBE2O	HEXD	0.0560033723911816	undirected	NA	NA
UBE2O	CCDC57	0.0597996302598401	undirected	NA	NA
GGA3	SGSH	0.0773983388507913	undirected	NA	NA
GGA3	EXOC7	0.06424921659259	undirected	NA	NA
GGA3	SAP30BP	0.0714523337987239	undirected	NA	NA
GGA3	CSNK1D	0.123380286257697	undirected	NA	NA
GGA3	RFNG	0.0831344449705945	undirected	NA	NA
GGA3	RECQL5	0.106706442668356	undirected	NA	NA
GGA3	SLC38A10	0.0832669137511206	undirected	NA	NA
GGA3	RPTOR	0.123934728629895	undirected	NA	NA
GGA3	FAAP100	0.0779165019488344	undirected	NA	NA
GGA3	TBCD	0.0898041953404553	undirected	NA	NA
GGA3	ASPSCR1	0.0812061804193897	undirected	NA	NA
GGA3	EVPL	0.06526199081255	undirected	NA	NA
GGA3	FOXK2	0.0935488203862837	undirected	NA	NA
GGA3	LLGL2	0.065021500879953	undirected	NA	NA
GGA3	NPLOC4	0.0615553186919988	undirected	NA	NA
GGA3	TMEM94	0.0797118793893668	undirected	NA	NA
GGA3	SRP68	0.0845060475325814	undirected	NA	NA
GGA3	NAT9	0.0569715763216765	undirected	NA	NA
GGA3	CYBC1	0.0705054270882908	undirected	NA	NA
GGA3	DUS1L	0.0604279586320121	undirected	NA	NA
GGA3	FN3KRP	0.0665308591662111	undirected	NA	NA
GGA3	SLC26A11	0.0704256006155744	undirected	NA	NA
GGA3	USP36	0.0522770279629821	undirected	NA	NA
GGA3	NUP85	0.0581334146178336	undirected	NA	NA
GGA3	PGS1	0.0887885481877485	undirected	NA	NA
GGA3	HEXD	0.0897861401938133	undirected	NA	NA
GGA3	CCDC57	0.093683347501853	undirected	NA	NA
SGSH	EXOC7	0.0584639285405364	undirected	NA	NA
SGSH	SAP30BP	0.0721321518741594	undirected	NA	NA
SGSH	CSNK1D	0.0846449613169342	undirected	NA	NA
SGSH	RFNG	0.0612768847251234	undirected	NA	NA
SGSH	RECQL5	0.0650943336562696	undirected	NA	NA
SGSH	SLC38A10	0.079514935816542	undirected	NA	NA
SGSH	RPTOR	0.08091064391358	undirected	NA	NA
SGSH	FAAP100	0.0532134622436927	undirected	NA	NA
SGSH	TBCD	0.0598603418207286	undirected	NA	NA
