nodeName	altName	nodeAttr[nodesPresent, ]
THSD4	NA	brown
CCDC170	NA	brown
TMEM26	NA	brown
ESR1	NA	brown
GFRA1	NA	brown
NR2E3	NA	brown
BCL2	NA	brown
STC2	NA	brown
ENSG00000303631	NA	brown
MED13L	NA	brown
MIR3936HG	NA	brown
AL139383.1	NA	brown
KDM4B	NA	brown
ENSG00000303652	NA	brown
CA12	NA	brown
TBC1D9	NA	brown
C3orf18	NA	brown
C5AR2	NA	brown
AC104938.1	NA	brown
PARD6B	NA	brown
FLNB	NA	brown
LYPD6	NA	brown
GATA3	NA	brown
MRPS30-DT	NA	brown
LMAN2L	NA	brown
ASB13	NA	brown
DOK7	NA	brown
PCSK6	NA	brown
AL023754.1	NA	brown
SLC22A5	NA	brown
