nodeName	altName	nodeAttr[nodesPresent, ]
FBXL17	NA	darkgreen
TRIM23	NA	darkgreen
YTHDC2	NA	darkgreen
SREK1	NA	darkgreen
ARB2A	NA	darkgreen
ERBIN	NA	darkgreen
COMMD10	NA	darkgreen
PPWD1	NA	darkgreen
PGGT1B	NA	darkgreen
SREK1IP1	NA	darkgreen
TMEM161B	NA	darkgreen
CWC27	NA	darkgreen
POLK	NA	darkgreen
SCAMP1	NA	darkgreen
TENT2	NA	darkgreen
TRAPPC13	NA	darkgreen
GIN1	NA	darkgreen
ATG12	NA	darkgreen
DCTN4	NA	darkgreen
PJA2	NA	darkgreen
SLC25A46	NA	darkgreen
TBCA	NA	darkgreen
CSNK1G3	NA	darkgreen
CCNH	NA	darkgreen
FAM174A	NA	darkgreen
MSH3	NA	darkgreen
CEP120	NA	darkgreen
MIER3	NA	darkgreen
FAM13B	NA	darkgreen
GPBP1	NA	darkgreen
