nodeName	altName	nodeAttr[nodesPresent, ]
IFIT1	NA	darkorange
MX1	NA	darkorange
IFIT3	NA	darkorange
OAS2	NA	darkorange
IFI44	NA	darkorange
IFI44L	NA	darkorange
OAS3	NA	darkorange
DDX60	NA	darkorange
OAS1	NA	darkorange
IFI6	NA	darkorange
XAF1	NA	darkorange
CMPK2	NA	darkorange
PARP14	NA	darkorange
RSAD2	NA	darkorange
STAT1	NA	darkorange
IFIH1	NA	darkorange
NRIR	NA	darkorange
ENSG00000287188	NA	darkorange
HERC6	NA	darkorange
IFIT5	NA	darkorange
SP100	NA	darkorange
PARP9	NA	darkorange
IFIT2	NA	darkorange
EIF2AK2	NA	darkorange
DDX60L	NA	darkorange
UBE2L6	NA	darkorange
OASL	NA	darkorange
SAMD9	NA	darkorange
HERC5	NA	darkorange
USP18	NA	darkorange
