nodeName	altName	nodeAttr[nodesPresent, ]
METTL15	NA	darkturquoise
ARID2	NA	darkturquoise
PIK3C3	NA	darkturquoise
RAB28	NA	darkturquoise
ATRX	NA	darkturquoise
DYM	NA	darkturquoise
PIGN	NA	darkturquoise
TRAPPC8	NA	darkturquoise
ICE2	NA	darkturquoise
SMAD2	NA	darkturquoise
ARK2N	NA	darkturquoise
WDR7	NA	darkturquoise
SS18	NA	darkturquoise
SMAD4	NA	darkturquoise
STAG2	NA	darkturquoise
SCAF11	NA	darkturquoise
ABCB7	NA	darkturquoise
KIAA1328	NA	darkturquoise
IKZF5	NA	darkturquoise
CNOT2	NA	darkturquoise
RAB21	NA	darkturquoise
LEMD3	NA	darkturquoise
PACRGL	NA	darkturquoise
ZNF407	NA	darkturquoise
MDM1	NA	darkturquoise
CPSF6	NA	darkturquoise
RIC8B	NA	darkturquoise
TTC17	NA	darkturquoise
JPX	NA	darkturquoise
SLC30A9	NA	darkturquoise
