nodeName	altName	nodeAttr[nodesPresent, ]
TMEM259	NA	green
RHOT2	NA	green
KMT2B	NA	green
KMT2D	NA	green
TELO2	NA	green
TSC2	NA	green
CSNK1G2	NA	green
TRAF7	NA	green
INTS1	NA	green
POLR2E	NA	green
ABHD17A	NA	green
RNF126	NA	green
PKD1	NA	green
MYBBP1A	NA	green
CLCN7	NA	green
NELFB	NA	green
NCLN	NA	green
STK11	NA	green
E4F1	NA	green
CIAO3	NA	green
POLRMT	NA	green
LMF2	NA	green
ZNF646	NA	green
CACTIN	NA	green
MBD3	NA	green
COPE	NA	green
ANAPC2	NA	green
FAM50A	NA	green
REXO1	NA	green
RABL6	NA	green
