nodeName	altName	nodeAttr[nodesPresent, ]
BICC1	NA	greenyellow
FLRT2	NA	greenyellow
ZC3H12B	NA	greenyellow
RBMS3	NA	greenyellow
HMCN1	NA	greenyellow
RUNX1T1	NA	greenyellow
MAGI2-AS3	NA	greenyellow
GAS7	NA	greenyellow
RHOJ	NA	greenyellow
FSTL1	NA	greenyellow
EBF1	NA	greenyellow
GRID1	NA	greenyellow
BOC	NA	greenyellow
FAT4	NA	greenyellow
IGFBP7	NA	greenyellow
LRCH2	NA	greenyellow
ABCC9	NA	greenyellow
NID1	NA	greenyellow
DCN	NA	greenyellow
IGF1	NA	greenyellow
PCSK5	NA	greenyellow
LDB2	NA	greenyellow
TBX18	NA	greenyellow
SLIT2	NA	greenyellow
JAM2	NA	greenyellow
PREX2	NA	greenyellow
ARHGAP31	NA	greenyellow
ZEB1-AS1	NA	greenyellow
DZIP1	NA	greenyellow
AC108474.1	NA	greenyellow
