nodeName	altName	nodeAttr[nodesPresent, ]
PAPOLA	NA	lightcyan
ARID4A	NA	lightcyan
SNW1	NA	lightcyan
TRIP11	NA	lightcyan
PPP4R3A	NA	lightcyan
RBM25	NA	lightcyan
MED6	NA	lightcyan
TTC8	NA	lightcyan
PRPF39	NA	lightcyan
DCAF5	NA	lightcyan
ZC3H14	NA	lightcyan
PPP2R5E	NA	lightcyan
PCNX4	NA	lightcyan
SETD3	NA	lightcyan
STYX	NA	lightcyan
ACTR10	NA	lightcyan
ATG2B	NA	lightcyan
NEMF	NA	lightcyan
PSEN1	NA	lightcyan
SOS2	NA	lightcyan
DMAC2L	NA	lightcyan
MAP4K5	NA	lightcyan
HNRNPC	NA	lightcyan
IFT43	NA	lightcyan
MARK3	NA	lightcyan
AP5M1	NA	lightcyan
TTLL5	NA	lightcyan
EXOC5	NA	lightcyan
YLPM1	NA	lightcyan
ALKBH1	NA	lightcyan
