nodeName	altName	nodeAttr[nodesPresent, ]
ZZEF1	NA	lightcyan1
NCOR1	NA	lightcyan1
SMG6	NA	lightcyan1
ANKFY1	NA	lightcyan1
PAFAH1B1	NA	lightcyan1
METTL16	NA	lightcyan1
PIGL	NA	lightcyan1
NCBP3	NA	lightcyan1
ELAC2	NA	lightcyan1
RPA1	NA	lightcyan1
PITPNA	NA	lightcyan1
FXR2	NA	lightcyan1
NDEL1	NA	lightcyan1
ZSWIM7	NA	lightcyan1
CYB5D2	NA	lightcyan1
GLOD4	NA	lightcyan1
GID4	NA	lightcyan1
STX8	NA	lightcyan1
PELP1	NA	lightcyan1
SGSM2	NA	lightcyan1
TTC19	NA	lightcyan1
RPAIN	NA	lightcyan1
CAMTA2	NA	lightcyan1
ZNF594	NA	lightcyan1
MAP2K4	NA	lightcyan1
MINK1	NA	lightcyan1
CNTROB	NA	lightcyan1
NUP88	NA	lightcyan1
SCO1	NA	lightcyan1
TVP23C-CDRT4	NA	lightcyan1
