nodeName	altName	nodeAttr[nodesPresent, ]
PSKH1	NA	lightsteelblue1
TCF25	NA	lightsteelblue1
ATP6V0D1	NA	lightsteelblue1
DHX38	NA	lightsteelblue1
VAC14	NA	lightsteelblue1
SPG7	NA	lightsteelblue1
ACSF3	NA	lightsteelblue1
PLA2G15	NA	lightsteelblue1
TAF1C	NA	lightsteelblue1
GALNS	NA	lightsteelblue1
FCSK	NA	lightsteelblue1
VPS4A	NA	lightsteelblue1
EDC4	NA	lightsteelblue1
DEF8	NA	lightsteelblue1
SLC7A6OS	NA	lightsteelblue1
TRADD	NA	lightsteelblue1
MON1B	NA	lightsteelblue1
CENPT	NA	lightsteelblue1
FBXO31	NA	lightsteelblue1
COG8	NA	lightsteelblue1
E2F4	NA	lightsteelblue1
ESRP2	NA	lightsteelblue1
PRMT7	NA	lightsteelblue1
KLHDC4	NA	lightsteelblue1
RNF166	NA	lightsteelblue1
BANP	NA	lightsteelblue1
HEATR3	NA	lightsteelblue1
ZNF778	NA	lightsteelblue1
FHOD1	NA	lightsteelblue1
PHAF1	NA	lightsteelblue1
