nodeName	altName	nodeAttr[nodesPresent, ]
PPIG	NA	lightyellow
CREB1	NA	lightyellow
EPC2	NA	lightyellow
ATF2	NA	lightyellow
CUL3	NA	lightyellow
PTPN4	NA	lightyellow
ORC4	NA	lightyellow
ZNF638	NA	lightyellow
CWC22	NA	lightyellow
THUMPD2	NA	lightyellow
USP34	NA	lightyellow
PUM2	NA	lightyellow
WDR33	NA	lightyellow
CCNT2	NA	lightyellow
ZC3H8	NA	lightyellow
MTX2	NA	lightyellow
SRBD1	NA	lightyellow
NCKAP1	NA	lightyellow
PPP4R3B	NA	lightyellow
NBAS	NA	lightyellow
GIGYF2	NA	lightyellow
CLASP1	NA	lightyellow
MARCHF7	NA	lightyellow
PIKFYVE	NA	lightyellow
PREPL	NA	lightyellow
DARS1	NA	lightyellow
AFTPH	NA	lightyellow
XRCC5	NA	lightyellow
MBD5	NA	lightyellow
ZC3H15	NA	lightyellow
