nodeName	altName	nodeAttr[nodesPresent, ]
ZC3H13	NA	orange
RBM26	NA	orange
SUPT20H	NA	orange
ALG5	NA	orange
PAN3	NA	orange
NDFIP2	NA	orange
NAA16	NA	orange
PROSER1	NA	orange
COG6	NA	orange
UGGT2	NA	orange
PIBF1	NA	orange
GPALPP1	NA	orange
COG3	NA	orange
AKAP11	NA	orange
PSPC1	NA	orange
ABHD13	NA	orange
TPP2	NA	orange
LNX2	NA	orange
SUGT1	NA	orange
ELF1	NA	orange
TDRD3	NA	orange
GTF2F2	NA	orange
XPO4	NA	orange
INTS6	NA	orange
CDC16	NA	orange
ARGLU1	NA	orange
MRPS31	NA	orange
CDK8	NA	orange
NUP58	NA	orange
N4BP2L2	NA	orange
