nodeName	altName	nodeAttr[nodesPresent, ]
OPA1	NA	paleturquoise
ZNF148	NA	paleturquoise
U2SURP	NA	paleturquoise
SEC22A	NA	paleturquoise
ARMC8	NA	paleturquoise
DHX36	NA	paleturquoise
MRPL3	NA	paleturquoise
RYK	NA	paleturquoise
KPNA1	NA	paleturquoise
GSK3B	NA	paleturquoise
SLC25A36	NA	paleturquoise
TBC1D23	NA	paleturquoise
KPNA4	NA	paleturquoise
NAA50	NA	paleturquoise
RASA2	NA	paleturquoise
PDCD10	NA	paleturquoise
ACAP2	NA	paleturquoise
DNAJC13	NA	paleturquoise
SNX4	NA	paleturquoise
OSBPL11	NA	paleturquoise
ATR	NA	paleturquoise
FXR1	NA	paleturquoise
FAM199X	NA	paleturquoise
MIX23	NA	paleturquoise
TRA2B	NA	paleturquoise
XRN1	NA	paleturquoise
NCK1	NA	paleturquoise
RNF13	NA	paleturquoise
NEPRO	NA	paleturquoise
DLG1	NA	paleturquoise
