nodeName	altName	nodeAttr[nodesPresent, ]
SETD2	NA	saddlebrown
RBM6	NA	saddlebrown
TASOR	NA	saddlebrown
CLASP2	NA	saddlebrown
DENND6A	NA	saddlebrown
CCDC66	NA	saddlebrown
NEK4	NA	saddlebrown
SACM1L	NA	saddlebrown
PDCD6IP	NA	saddlebrown
NKTR	NA	saddlebrown
SHQ1	NA	saddlebrown
SLMAP	NA	saddlebrown
DCP1A	NA	saddlebrown
RBM5	NA	saddlebrown
SFMBT1	NA	saddlebrown
APPL1	NA	saddlebrown
PBRM1	NA	saddlebrown
DCAF1	NA	saddlebrown
UBA3	NA	saddlebrown
THOC7	NA	saddlebrown
OXSR1	NA	saddlebrown
KLHL18	NA	saddlebrown
RAD54L2	NA	saddlebrown
CGGBP1	NA	saddlebrown
SUCLG2	NA	saddlebrown
GOLGA4	NA	saddlebrown
UBP1	NA	saddlebrown
PRKAR2A	NA	saddlebrown
ARIH2	NA	saddlebrown
TMF1	NA	saddlebrown
