nodeName	altName	nodeAttr[nodesPresent, ]
DLAT	NA	sienna3
RNF214	NA	sienna3
DCUN1D5	NA	sienna3
NKAPD1	NA	sienna3
NPAT	NA	sienna3
ZW10	NA	sienna3
ZBTB44	NA	sienna3
AASDHPPT	NA	sienna3
BUD13	NA	sienna3
CUL5	NA	sienna3
USP28	NA	sienna3
DDX6	NA	sienna3
DDX10	NA	sienna3
ARHGEF12	NA	sienna3
UBE4A	NA	sienna3
PAFAH1B2	NA	sienna3
KMT2A	NA	sienna3
CEP295	NA	sienna3
ATM	NA	sienna3
CWF19L2	NA	sienna3
CBL	NA	sienna3
BIRC2	NA	sienna3
KBTBD3	NA	sienna3
NCAPD3	NA	sienna3
STT3A	NA	sienna3
ARHGAP32	NA	sienna3
ARCN1	NA	sienna3
SNX19	NA	sienna3
DIXDC1	NA	sienna3
CEP57	NA	sienna3
