nodeName	altName	nodeAttr[nodesPresent, ]
PKN2	NA	skyblue
AGO3	NA	skyblue
ZNF326	NA	skyblue
STXBP3	NA	skyblue
PTBP2	NA	skyblue
ZMYM4	NA	skyblue
SRSF11	NA	skyblue
TRMT13	NA	skyblue
ANKRD13C	NA	skyblue
SRSF10	NA	skyblue
MTF2	NA	skyblue
ZRANB2	NA	skyblue
TRIM33	NA	skyblue
LRRC40	NA	skyblue
FAF1	NA	skyblue
KDM1A	NA	skyblue
C1orf52	NA	skyblue
RBBP4	NA	skyblue
MIER1	NA	skyblue
ZZZ3	NA	skyblue
RTCA	NA	skyblue
FUBP1	NA	skyblue
SELENOF	NA	skyblue
RPAP2	NA	skyblue
PUM1	NA	skyblue
NRDC	NA	skyblue
GPBP1L1	NA	skyblue
EVI5	NA	skyblue
SRRM1	NA	skyblue
CEPT1	NA	skyblue
