nodeName	altName	nodeAttr[nodesPresent, ]
SS18L1	NA	skyblue3
ARFRP1	NA	skyblue3
OSBPL2	NA	skyblue3
TAF4	NA	skyblue3
MTG2	NA	skyblue3
LSM14B	NA	skyblue3
VAPB	NA	skyblue3
ARFGAP1	NA	skyblue3
PRPF6	NA	skyblue3
RAE1	NA	skyblue3
UCKL1	NA	skyblue3
ZNF512B	NA	skyblue3
DNAJC5	NA	skyblue3
TTI1	NA	skyblue3
CTNNBL1	NA	skyblue3
RTF2	NA	skyblue3
RAB22A	NA	skyblue3
RPRD1B	NA	skyblue3
SLC2A4RG	NA	skyblue3
DIDO1	NA	skyblue3
OGFR	NA	skyblue3
AAR2	NA	skyblue3
LAMA5	NA	skyblue3
NELFCD	NA	skyblue3
ADRM1	NA	skyblue3
CABLES2	NA	skyblue3
YTHDF1	NA	skyblue3
GMEB2	NA	skyblue3
PPDPF	NA	skyblue3
MTCL2	NA	skyblue3
