nodeName	altName	nodeAttr[nodesPresent, ]
DYNC1LI2	NA	steelblue
IST1	NA	steelblue
CNOT1	NA	steelblue
CSNK2A2	NA	steelblue
AP1G1	NA	steelblue
RFWD3	NA	steelblue
NUP93	NA	steelblue
CFDP1	NA	steelblue
SF3B3	NA	steelblue
GLG1	NA	steelblue
CIAPIN1	NA	steelblue
RANBP10	NA	steelblue
WDR59	NA	steelblue
WWP2	NA	steelblue
USP10	NA	steelblue
ITFG1	NA	steelblue
EMC8	NA	steelblue
PHKB	NA	steelblue
CYB5B	NA	steelblue
NAE1	NA	steelblue
ZCCHC14	NA	steelblue
COG4	NA	steelblue
ZC3H18	NA	steelblue
TERF2	NA	steelblue
CNEP1R1	NA	steelblue
GFOD2	NA	steelblue
NFATC3	NA	steelblue
CTCF	NA	steelblue
PSMD7	NA	steelblue
GABARAPL2	NA	steelblue
