nodeName	altName	nodeAttr[nodesPresent, ]
BLTP2	NA	violet
SDF2	NA	violet
SUPT6H	NA	violet
STARD3	NA	violet
PGAP3	NA	violet
FLOT2	NA	violet
ERBB2	NA	violet
POLDIP2	NA	violet
GRB7	NA	violet
TNFAIP1	NA	violet
TRAF4	NA	violet
FAM222B	NA	violet
MIEN1	NA	violet
CDK12	NA	violet
PHF12	NA	violet
ERAL1	NA	violet
MED1	NA	violet
MYO18A	NA	violet
PSMD3	NA	violet
IFT20	NA	violet
MSL1	NA	violet
FBXL20	NA	violet
CASC3	NA	violet
ORMDL3	NA	violet
GSDMB	NA	violet
MED24	NA	violet
NEK8	NA	violet
WIPF2	NA	violet
RPL19	NA	violet
LASP1	NA	violet
