nodeName	altName	nodeAttr[nodesPresent, ]
GFPT2	NA	white
COL4A2	NA	white
CRISPLD2	NA	white
COL4A1	NA	white
MEDAG	NA	white
ITPRIP	NA	white
ADAMTS1	NA	white
ZFP36	NA	white
BTBD19	NA	white
ADAMTS9	NA	white
SOCS3	NA	white
ADAMTS4	NA	white
ITGA5	NA	white
PLK3	NA	white
EMILIN2	NA	white
SLC2A3	NA	white
TUBB6	NA	white
SERPINE1	NA	white
ETS2	NA	white
ACSL4	NA	white
EMP1	NA	white
HBEGF	NA	white
MSN	NA	white
C1QTNF1	NA	white
LIF	NA	white
HAS2	NA	white
PAPPA	NA	white
AC069368.1	NA	white
TAMALIN	NA	white
JUNB	NA	white
