nodeName	altName	nodeAttr[nodesPresent, ]
ULK4	NA	yellow
RABEP1	NA	yellow
NEK11	NA	yellow
KLHDC1	NA	yellow
SYTL4	NA	yellow
BBS4	NA	yellow
EFCAB6	NA	yellow
STARD13	NA	yellow
CFAP43	NA	yellow
BBOF1	NA	yellow
DNAI7	NA	yellow
DCDC1	NA	yellow
MOK	NA	yellow
GKAP1	NA	yellow
IQCH	NA	yellow
SCUBE2	NA	yellow
PCM1	NA	yellow
CCDC30	NA	yellow
WDR93	NA	yellow
DNAAF1	NA	yellow
DNAH7	NA	yellow
CFAP69	NA	yellow
TTC14	NA	yellow
WDR31	NA	yellow
TMEM26-AS1	NA	yellow
GLRB	NA	yellow
CFAP70	NA	yellow
SETBP1	NA	yellow
ZNF214	NA	yellow
CDON	NA	yellow
