nodeName	altName	nodeAttr[nodesPresent, ]
HGS	NA	yellowgreen
UBE2O	NA	yellowgreen
GGA3	NA	yellowgreen
SGSH	NA	yellowgreen
EXOC7	NA	yellowgreen
SAP30BP	NA	yellowgreen
CSNK1D	NA	yellowgreen
RFNG	NA	yellowgreen
RECQL5	NA	yellowgreen
SLC38A10	NA	yellowgreen
RPTOR	NA	yellowgreen
FAAP100	NA	yellowgreen
TBCD	NA	yellowgreen
ASPSCR1	NA	yellowgreen
EVPL	NA	yellowgreen
FOXK2	NA	yellowgreen
LLGL2	NA	yellowgreen
NPLOC4	NA	yellowgreen
TMEM94	NA	yellowgreen
SRP68	NA	yellowgreen
NAT9	NA	yellowgreen
CYBC1	NA	yellowgreen
DUS1L	NA	yellowgreen
FN3KRP	NA	yellowgreen
SLC26A11	NA	yellowgreen
USP36	NA	yellowgreen
NUP85	NA	yellowgreen
PGS1	NA	yellowgreen
HEXD	NA	yellowgreen
CCDC57	NA	yellowgreen
