"module","n_genes","pct_lncRNA","n_traits_sig","significant_traits","C1_positional","GO_BP","Hallmark","Reactome","rescued_by","scope"
"purple",738,93.8,0,"—",0,0,0,0,"None","Exclude: no trait, no biology"
"darkred",333,38.4,0,"—",0,0,0,0,"None","Exclude: no trait, no biology"
"orangered4",130,16.2,0,"—",0,0,0,0,"None","Exclude: no trait, no biology"
"magenta",1359,34.4,0,"—",10,376,8,261,"Hallmark","Include: biology only"
"salmon",577,27.9,0,"—",9,52,0,20,"GO BP","Include: biology only"
"grey60",403,31.8,0,"—",8,48,0,4,"GO BP","Include: biology only"
"royalblue",362,23.8,0,"—",5,16,0,1,"GO BP","Include: biology only"
"darkgrey",279,22.2,0,"—",0,41,1,31,"Hallmark","Include: biology only"
"darkmagenta",159,12.6,0,"—",1,0,0,0,"C1 positional","Include: biology only"
"plum1",146,6.8,0,"—",1,0,0,0,"C1 positional","Include: biology only"
"mediumpurple3",107,20.6,0,"—",2,0,0,0,"C1 positional","Include: biology only"
"turquoise",3275,49.6,4,"PR, ER, HER2, grade",2,786,10,99,"Hallmark","Include: trait + biology"
"blue",3177,57.9,1,"ER",1,20,0,5,"GO BP","Include: trait + biology"
"green",2630,31.6,1,"ER",10,224,1,44,"Hallmark","Include: trait + biology"
"brown",1828,46.6,4,"ER, PR, HER2, grade",0,8,4,3,"Hallmark","Include: trait + biology"
"yellow",1722,46.7,4,"grade, PR, ER, HER2",0,31,0,0,"GO BP","Include: trait + biology"
"greenyellow",1294,48.3,2,"PR, grade",0,102,7,13,"Hallmark","Include: trait + biology"
"black",1051,48.1,4,"PR, ER, grade, HER2",0,274,5,52,"Hallmark","Include: trait + biology"
"pink",1034,35.7,5,"grade, PR, HER2, ER, radiotherapy",0,290,7,109,"Hallmark","Include: trait + biology"
"darkturquoise",670,11,4,"grade, PR, ER, HER2",3,0,0,0,"C1 positional","Include: trait + biology"
"cyan",512,33,1,"grade",1,265,3,18,"Hallmark","Include: trait + biology"
"lightcyan",471,37.2,1,"grade",7,75,0,28,"GO BP","Include: trait + biology"
"lightyellow",370,15.7,1,"ER",3,13,0,0,"GO BP","Include: trait + biology"
"darkgreen",299,18.4,3,"ER, grade, PR",5,0,0,0,"C1 positional","Include: trait + biology"
"orange",269,20.1,1,"grade",7,0,0,4,"Reactome","Include: trait + biology"
"darkorange",259,49.8,2,"HER2, case_control",4,123,3,22,"Hallmark","Include: trait + biology"
"white",254,11.8,1,"grade",0,0,3,3,"Hallmark","Include: trait + biology"
"skyblue",227,7.5,2,"grade, HER2",1,0,1,0,"Hallmark","Include: trait + biology"
"saddlebrown",203,13.8,4,"grade, PR, HER2, ER",3,0,0,0,"C1 positional","Include: trait + biology"
"steelblue",200,22,2,"ER, PR",4,0,0,0,"C1 positional","Include: trait + biology"
"violet",188,45.7,2,"HER2, case_control",1,2,0,0,"GO BP","Include: trait + biology"
"darkolivegreen",164,75.6,3,"grade, HER2, PR",1,37,0,6,"GO BP","Include: trait + biology"
"sienna3",158,23.4,1,"grade",2,35,0,5,"GO BP","Include: trait + biology"
"yellowgreen",152,17.1,1,"HER2",1,0,0,2,"Reactome","Include: trait + biology"
"skyblue3",146,14.4,1,"grade",1,0,0,0,"C1 positional","Include: trait + biology"
"lightsteelblue1",104,17.3,2,"PR, ER",2,0,0,0,"C1 positional","Include: trait + biology"
"lightcyan1",98,8.2,2,"PR, grade",0,8,0,0,"GO BP","Include: trait + biology"
"paleturquoise",189,0.5,1,"case_control",0,0,0,0,"None","Include: trait only"
