"module","bicor_r","p_raw","FDR","direction"
"darkmagenta",-0.179,0.0771,0.21,"DOWN in cases"
"sienna3",-0.174,0.087,0.231,"DOWN in cases"
"yellowgreen",-0.167,0.0998,0.262,"DOWN in cases"
"darkred",-0.139,0.171,0.368,"DOWN in cases"
"blue",-0.12,0.239,0.474,"DOWN in cases"
"green",-0.105,0.302,0.557,"DOWN in cases"
"magenta",-0.087,0.393,0.635,"DOWN in cases"
"cyan",-0.085,0.407,0.646,"DOWN in cases"
"lightsteelblue1",-0.065,0.524,0.747,"DOWN in cases"
"white",-0.063,0.539,0.762,"DOWN in cases"
"royalblue",-0.06,0.554,0.762,"DOWN in cases"
"skyblue",-0.048,0.642,0.809,"DOWN in cases"
"brown",-0.044,0.67,0.817,"DOWN in cases"
"greenyellow",-0.044,0.667,0.817,"DOWN in cases"
"plum1",-0.022,0.827,0.911,"DOWN in cases"
"darkgrey",-0.018,0.86,0.914,"DOWN in cases"
"orangered4",-0.01,0.923,0.948,"DOWN in cases"
"lightcyan1",-0.006,0.957,0.965,"DOWN in cases"
"skyblue3",-0.003,0.977,0.981,"DOWN in cases"
"lightcyan",0.015,0.881,0.92,"UP in cases"
"saddlebrown",0.018,0.86,0.914,"UP in cases"
"steelblue",0.023,0.822,0.911,"UP in cases"
"yellow",0.047,0.649,0.812,"UP in cases"
"darkturquoise",0.058,0.572,0.762,"UP in cases"
"mediumpurple3",0.058,0.569,0.762,"UP in cases"
"purple",0.075,0.461,0.71,"UP in cases"
"grey60",0.086,0.398,0.638,"UP in cases"
"turquoise",0.095,0.352,0.584,"UP in cases"
"lightyellow",0.104,0.308,0.558,"UP in cases"
"darkolivegreen",0.127,0.211,0.43,"UP in cases"
"black",0.131,0.2,0.417,"UP in cases"
"orange",0.133,0.19,0.405,"UP in cases"
"pink",0.16,0.116,0.28,"UP in cases"
"salmon",0.166,0.102,0.266,"UP in cases"
"darkgreen",0.186,0.067,0.189,"UP in cases"
"darkorange",0.301,0.0026,0.0145,"UP in cases"
"violet",0.31,0.00187,0.0127,"UP in cases"
"paleturquoise",0.339,0.000649,0.00524,"UP in cases"
