"Module","Trait","bicor_r","p_raw","FDR","Stars"
"MEbrown","ER",0.684,8.07e-15,1.89e-12,"***"
"MEviolet","HER2",0.712,2.13e-14,2.49e-12,"***"
"MEturquoise","PR",-0.681,1.86e-11,1.45e-09,"***"
"MEbrown","PR",0.675,3.03e-11,1.77e-09,"***"
"MEturquoise","ER",-0.605,4.01e-11,1.87e-09,"***"
"MEyellow","grade",-0.591,1.55e-10,6.05e-09,"***"
"MEpink","grade",0.551,4.1e-09,1.37e-07,"***"
"MEyellow","PR",0.61,6.32e-09,1.85e-07,"***"
"MEturquoise","HER2",0.539,1.02e-07,2.66e-06,"***"
"MEsaddlebrown","grade",-0.503,1.3e-07,3.05e-06,"***"
"MEyellow","ER",0.492,2.59e-07,5.51e-06,"***"
"MEbrown","HER2",-0.508,7.12e-07,1.39e-05,"***"
"MEpink","PR",-0.528,1.11e-06,2e-05,"***"
"MEdarkorange","HER2",0.465,7.18e-06,0.00012,"***"
"MEpink","HER2",0.462,8.73e-06,0.000136,"***"
"MEpink","ER",-0.426,1.23e-05,0.000169,"***"
"MEsaddlebrown","PR",0.482,1.21e-05,0.000169,"***"
"MElightcyan1","PR",0.463,2.83e-05,0.000368,"***"
"MEblack","PR",-0.451,4.92e-05,0.000598,"***"
"MEturquoise","grade",0.397,5.11e-05,0.000598,"***"
"MEblack","ER",-0.395,5.81e-05,0.000648,"***"
"MElightcyan","grade",-0.386,8.62e-05,0.000917,"***"
"MEyellow","HER2",-0.408,0.000105,0.00107,"**"
"MEsienna3","grade",-0.378,0.000123,0.0012,"**"
"MEbrown","grade",-0.357,0.000313,0.00293,"**"
"MEdarkgreen","ER",0.351,0.000401,0.00361,"**"
"MEdarkgreen","grade",-0.345,0.000501,0.00434,"**"
"MEblack","grade",0.342,0.000574,0.0048,"**"
"MEpaleturquoise","case_control",0.339,0.000649,0.00524,"**"
"MElightcyan1","grade",-0.325,0.00111,0.00863,"**"
"MEsteelblue","ER",-0.321,0.00128,0.00957,"**"
"MEsteelblue","PR",-0.364,0.00131,0.00957,"**"
"MEskyblue","grade",-0.314,0.00164,0.0116,"*"
"MEviolet","case_control",0.31,0.00187,0.0127,"*"
"MEdarkturquoise","grade",-0.309,0.00195,0.0127,"*"
"MEskyblue3","grade",0.309,0.00196,0.0127,"*"
"MEdarkgreen","PR",0.35,0.00207,0.0128,"*"
"MEdarkolivegreen","grade",0.307,0.00208,0.0128,"*"
"MElightsteelblue1","PR",-0.348,0.00219,0.0131,"*"
"MEorange","grade",-0.305,0.00229,0.0134,"*"
"MEyellowgreen","HER2",-0.325,0.00243,0.0139,"*"
"MEdarkorange","case_control",0.301,0.0026,0.0145,"*"
"MEcyan","grade",0.295,0.00319,0.0173,"*"
"MEdarkturquoise","PR",0.335,0.00327,0.0174,"*"
"MEsaddlebrown","HER2",-0.314,0.00342,0.0178,"*"
"MEwhite","grade",0.292,0.00353,0.0179,"*"
"MEgreenyellow","PR",-0.331,0.00368,0.0181,"*"
"MEdarkolivegreen","HER2",0.312,0.00371,0.0181,"*"
"MEdarkolivegreen","PR",-0.33,0.00389,0.0182,"*"
"MEblack","HER2",0.31,0.00386,0.0182,"*"
"MEblue","ER",0.288,0.00398,0.0183,"*"
"MEsaddlebrown","ER",0.284,0.00465,0.0209,"*"
"MEskyblue","HER2",-0.298,0.00563,0.0248,"*"
"MEdarkturquoise","ER",0.271,0.007,0.0301,"*"
"MEgreen","ER",0.27,0.00708,0.0301,"*"
"MEpink","radiotherapy",0.268,0.00752,0.0314,"*"
"MElightsteelblue1","ER",-0.259,0.0101,0.0407,"*"
"MEdarkturquoise","HER2",-0.277,0.0103,0.0407,"*"
"MEgreenyellow","grade",0.259,0.00995,0.0407,"*"
"MElightyellow","ER",-0.253,0.012,0.0467,"*"
