fromNode	toNode	weight	direction	fromAltName	toAltName
IFFO1	GIMAP6	0.0283369095646211	undirected	NA	NA
IFFO1	RASL12	0.0224620279238154	undirected	NA	NA
IFFO1	FERMT3	0.0283044837478139	undirected	NA	NA
IFFO1	HCK	0.0312793750021655	undirected	NA	NA
IFFO1	APOE	0.0302582485091359	undirected	NA	NA
IFFO1	CALHM5	0.0319955487576899	undirected	NA	NA
IFFO1	COL8A2	0.0241258047178242	undirected	NA	NA
IFFO1	LMO2	0.0256677922194325	undirected	NA	NA
IFFO1	CARD6	0.0405866760630683	undirected	NA	NA
IFFO1	FAM89A	0.0424042528098943	undirected	NA	NA
IFFO1	MGAT3	0.032344718805524	undirected	NA	NA
IFFO1	UNC13D	0.0339915075348587	undirected	NA	NA
IFFO1	GRAP	0.028861513108345	undirected	NA	NA
IFFO1	GAL3ST4	0.0522902110076218	undirected	NA	NA
IFFO1	RASGRP4	0.0208204193511584	undirected	NA	NA
IFFO1	MMRN2	0.0347679425785938	undirected	NA	NA
IFFO1	NT5E	0.0478429019279425	undirected	NA	NA
IFFO1	PGF	0.0211688713893957	undirected	NA	NA
IFFO1	SIGLEC9	0.0369369833668628	undirected	NA	NA
IFFO1	RHOF	0.0299220798773299	undirected	NA	NA
IFFO1	LINC02693	0.024506408762063	undirected	NA	NA
IFFO1	PRDM8	0.0314805139580507	undirected	NA	NA
IFFO1	AFAP1L1	0.0253864457239695	undirected	NA	NA
IFFO1	HAPLN3	0.0365721951015467	undirected	NA	NA
IFFO1	ARL4A	0.0371838429181911	undirected	NA	NA
IFFO1	NRIP2	0.0320920467486815	undirected	NA	NA
IFFO1	HIC1	0.0364619229783204	undirected	NA	NA
IFFO1	APCDD1	0.0273226975122649	undirected	NA	NA
IFFO1	CLEC11A	0.0291642358204341	undirected	NA	NA
GIMAP6	RASL12	0.0219227356849293	undirected	NA	NA
GIMAP6	FERMT3	0.0328540831534573	undirected	NA	NA
GIMAP6	HCK	0.0277887480636625	undirected	NA	NA
GIMAP6	APOE	0.0356842613476729	undirected	NA	NA
GIMAP6	CALHM5	0.0271007618555172	undirected	NA	NA
GIMAP6	COL8A2	0.024928155413832	undirected	NA	NA
GIMAP6	LMO2	0.0225797715324785	undirected	NA	NA
GIMAP6	CARD6	0.0355863552056454	undirected	NA	NA
GIMAP6	FAM89A	0.0272393945214126	undirected	NA	NA
GIMAP6	MGAT3	0.0295779546332508	undirected	NA	NA
GIMAP6	UNC13D	0.0316270669087292	undirected	NA	NA
GIMAP6	GRAP	0.0267500212823652	undirected	NA	NA
GIMAP6	GAL3ST4	0.0433507537418081	undirected	NA	NA
GIMAP6	RASGRP4	0.0237727778697698	undirected	NA	NA
GIMAP6	MMRN2	0.0249511646201149	undirected	NA	NA
GIMAP6	NT5E	0.0297468395932024	undirected	NA	NA
GIMAP6	PGF	0.030407561822379	undirected	NA	NA
GIMAP6	SIGLEC9	0.0243261582056111	undirected	NA	NA
GIMAP6	RHOF	0.03197380611763	undirected	NA	NA
GIMAP6	LINC02693	0.0302842480193877	undirected	NA	NA
GIMAP6	PRDM8	0.0258644131956989	undirected	NA	NA
GIMAP6	AFAP1L1	0.0290998540769391	undirected	NA	NA
GIMAP6	HAPLN3	0.0266242703077512	undirected	NA	NA
GIMAP6	ARL4A	0.0275827654296131	undirected	NA	NA
GIMAP6	NRIP2	0.0222559465496177	undirected	NA	NA
GIMAP6	HIC1	0.0314674289166508	undirected	NA	NA
GIMAP6	APCDD1	0.0340081565509935	undirected	NA	NA
GIMAP6	CLEC11A	0.0280655445417393	undirected	NA	NA
RASL12	FERMT3	0.0206587126659185	undirected	NA	NA
RASL12	CALHM5	0.0241295854896704	undirected	NA	NA
RASL12	LMO2	0.0238590029642299	undirected	NA	NA
RASL12	CARD6	0.0421533824520512	undirected	NA	NA
RASL12	FAM89A	0.0240065620390258	undirected	NA	NA
RASL12	MGAT3	0.0236130919419748	undirected	NA	NA
RASL12	UNC13D	0.0407427232369065	undirected	NA	NA
RASL12	GAL3ST4	0.0441819277190736	undirected	NA	NA
RASL12	RASGRP4	0.0277596532862614	undirected	NA	NA
RASL12	MMRN2	0.0266856392663409	undirected	NA	NA
RASL12	NT5E	0.0300857852168892	undirected	NA	NA
RASL12	RHOF	0.0248227574988112	undirected	NA	NA
RASL12	PRDM8	0.0268131149686236	undirected	NA	NA
RASL12	HAPLN3	0.0250312642420449	undirected	NA	NA
RASL12	ARL4A	0.0340107998150692	undirected	NA	NA
RASL12	HIC1	0.0263162001222733	undirected	NA	NA
RASL12	APCDD1	0.0287564343294668	undirected	NA	NA
RASL12	CLEC11A	0.0357634998034298	undirected	NA	NA
FERMT3	HCK	0.0365956909930893	undirected	NA	NA
FERMT3	APOE	0.0357912641373696	undirected	NA	NA
FERMT3	CALHM5	0.0322391848458084	undirected	NA	NA
FERMT3	COL8A2	0.0285684685532639	undirected	NA	NA
FERMT3	LMO2	0.0250429438655364	undirected	NA	NA
FERMT3	CARD6	0.0392052831046764	undirected	NA	NA
FERMT3	FAM89A	0.0284990301857361	undirected	NA	NA
FERMT3	MGAT3	0.0352968236223468	undirected	NA	NA
FERMT3	UNC13D	0.0291920107270343	undirected	NA	NA
FERMT3	GRAP	0.0223829115167603	undirected	NA	NA
FERMT3	GAL3ST4	0.0484242722729607	undirected	NA	NA
FERMT3	RASGRP4	0.0204067842561388	undirected	NA	NA
FERMT3	MMRN2	0.0200652225607147	undirected	NA	NA
FERMT3	NT5E	0.0307267258531397	undirected	NA	NA
FERMT3	PGF	0.0254625647153716	undirected	NA	NA
FERMT3	RHOF	0.0303475805052248	undirected	NA	NA
FERMT3	LINC02693	0.0320798441933116	undirected	NA	NA
FERMT3	PRDM8	0.0223689822949256	undirected	NA	NA
FERMT3	AFAP1L1	0.0324643758627063	undirected	NA	NA
FERMT3	HAPLN3	0.0272614435826318	undirected	NA	NA
FERMT3	ARL4A	0.0269732790140503	undirected	NA	NA
FERMT3	HIC1	0.0295649839049073	undirected	NA	NA
FERMT3	APCDD1	0.0353839444337466	undirected	NA	NA
FERMT3	CLEC11A	0.0225399304701479	undirected	NA	NA
HCK	APOE	0.0301335679994495	undirected	NA	NA
HCK	CALHM5	0.0320732977530166	undirected	NA	NA
HCK	COL8A2	0.0207297500624615	undirected	NA	NA
HCK	LMO2	0.0224613791074926	undirected	NA	NA
HCK	CARD6	0.0315455922686995	undirected	NA	NA
HCK	FAM89A	0.0339400634039838	undirected	NA	NA
HCK	MGAT3	0.0323593942755763	undirected	NA	NA
HCK	UNC13D	0.0272252161865418	undirected	NA	NA
HCK	GAL3ST4	0.0402099523479356	undirected	NA	NA
HCK	MMRN2	0.0227599057189	undirected	NA	NA
HCK	NT5E	0.0332189505734936	undirected	NA	NA
HCK	PGF	0.0201839226058928	undirected	NA	NA
HCK	SIGLEC9	0.0278383036631827	undirected	NA	NA
HCK	RHOF	0.0290327985808326	undirected	NA	NA
HCK	LINC02693	0.0261318998450564	undirected	NA	NA
HCK	PRDM8	0.0216555485369114	undirected	NA	NA
