fromNode	toNode	weight	direction	fromAltName	toAltName
ISG20L2	C1orf43	0.0283548214474974	undirected	NA	NA
ISG20L2	HDGF	0.0287675421210707	undirected	NA	NA
ISG20L2	RAB25	0.0385124342648821	undirected	NA	NA
ISG20L2	APH1A	0.0319666923221007	undirected	NA	NA
ISG20L2	HAX1	0.0463916292574393	undirected	NA	NA
ISG20L2	FLAD1	0.0456621065101454	undirected	NA	NA
ISG20L2	UBQLN4	0.0459611026612923	undirected	NA	NA
ISG20L2	ARF1	0.0387506446382876	undirected	NA	NA
ISG20L2	ZNF687	0.0363221944332552	undirected	NA	NA
ISG20L2	NDUFS2	0.0265257542412618	undirected	NA	NA
ISG20L2	NCSTN	0.0298617067196162	undirected	NA	NA
ISG20L2	PYGO2	0.0392159101910909	undirected	NA	NA
ISG20L2	SSR2	0.0259733149714488	undirected	NA	NA
ISG20L2	B4GALT3	0.0518443505673511	undirected	NA	NA
ISG20L2	ADAR	0.0336878445614501	undirected	NA	NA
ISG20L2	TAGLN2	0.032581218423833	undirected	NA	NA
ISG20L2	SLC25A44	0.0352969385949591	undirected	NA	NA
ISG20L2	PMVK	0.0289011815118377	undirected	NA	NA
ISG20L2	PSMD4	0.0229921291036638	undirected	NA	NA
ISG20L2	UFC1	0.0456791799079205	undirected	NA	NA
ISG20L2	CRTC2	0.0378773169629014	undirected	NA	NA
ISG20L2	SHC1	0.0257630267485289	undirected	NA	NA
ISG20L2	CCT3	0.0421228637080978	undirected	NA	NA
ISG20L2	VPS72	0.0394321828222638	undirected	NA	NA
ISG20L2	SMG5	0.035050500286316	undirected	NA	NA
ISG20L2	SLC50A1	0.0373286467480543	undirected	NA	NA
ISG20L2	LAMTOR2	0.0427531564980464	undirected	NA	NA
ISG20L2	RUSC1	0.0340735771134723	undirected	NA	NA
C1orf43	HDGF	0.0315381449872247	undirected	NA	NA
C1orf43	APH1A	0.0352147156773945	undirected	NA	NA
C1orf43	HAX1	0.0447612771739426	undirected	NA	NA
C1orf43	FLAD1	0.0245012371476289	undirected	NA	NA
C1orf43	UBQLN4	0.021731899918733	undirected	NA	NA
C1orf43	ARF1	0.032817626782559	undirected	NA	NA
C1orf43	ZNF687	0.0296508383238518	undirected	NA	NA
C1orf43	NCSTN	0.0222669663717494	undirected	NA	NA
C1orf43	B4GALT3	0.0281111511586344	undirected	NA	NA
C1orf43	ADAR	0.0384018933470925	undirected	NA	NA
C1orf43	SLC25A44	0.0424051701160702	undirected	NA	NA
C1orf43	PMVK	0.0326202491984889	undirected	NA	NA
C1orf43	PSMD4	0.0255325618182365	undirected	NA	NA
C1orf43	SH3BP5L	0.0255702546064071	undirected	NA	NA
C1orf43	UFC1	0.0494919191163043	undirected	NA	NA
C1orf43	CRTC2	0.03843485766775	undirected	NA	NA
