fromNode	toNode	weight	direction	fromAltName	toAltName
PAPOLA	ARID4A	0.0466301780314522	undirected	NA	NA
PAPOLA	TTC8	0.0506782403917612	undirected	NA	NA
PAPOLA	TRIP11	0.0662658790518377	undirected	NA	NA
PAPOLA	SNW1	0.0494915440455836	undirected	NA	NA
PAPOLA	PPP4R3A	0.0482406069618322	undirected	NA	NA
PAPOLA	MED6	0.043626099457209	undirected	NA	NA
PAPOLA	RBM25	0.0476053770706749	undirected	NA	NA
PAPOLA	DCAF5	0.0456023765759309	undirected	NA	NA
PAPOLA	ZC3H14	0.0535573820241531	undirected	NA	NA
PAPOLA	PPP2R5E	0.0461209428757698	undirected	NA	NA
PAPOLA	PCNX4	0.0377302198654892	undirected	NA	NA
PAPOLA	PRPF39	0.0532989594802088	undirected	NA	NA
PAPOLA	ATG2B	0.0570743701742171	undirected	NA	NA
PAPOLA	SETD3	0.0470529245070195	undirected	NA	NA
PAPOLA	DMAC2L	0.0546842514431044	undirected	NA	NA
PAPOLA	MAP4K5	0.0536932421217343	undirected	NA	NA
PAPOLA	HNRNPC	0.0440914476308054	undirected	NA	NA
PAPOLA	NEMF	0.0460359221771529	undirected	NA	NA
PAPOLA	IFT43	0.0455575166419054	undirected	NA	NA
PAPOLA	STYX	0.0408272017676958	undirected	NA	NA
PAPOLA	ACTR10	0.0482909033676115	undirected	NA	NA
PAPOLA	TTLL5	0.0408673315260616	undirected	NA	NA
PAPOLA	PSEN1	0.0691357944599931	undirected	NA	NA
PAPOLA	SOS2	0.0511778393922211	undirected	NA	NA
PAPOLA	MARK3	0.0512624144900149	undirected	NA	NA
PAPOLA	ALKBH1	0.0425080586245434	undirected	NA	NA
PAPOLA	YLPM1	0.0467844270755119	undirected	NA	NA
PAPOLA	PPM1A	0.0533007317217863	undirected	NA	NA
PAPOLA	TOGARAM1	0.0554761203748029	undirected	NA	NA
ARID4A	TTC8	0.0542927366903406	undirected	NA	NA
ARID4A	TRIP11	0.0567204637700171	undirected	NA	NA
ARID4A	SNW1	0.03986538253096	undirected	NA	NA
ARID4A	PPP4R3A	0.0501793420090781	undirected	NA	NA
ARID4A	MED6	0.0341510808088734	undirected	NA	NA
ARID4A	RBM25	0.0408347949545364	undirected	NA	NA
ARID4A	DCAF5	0.0362712971156481	undirected	NA	NA
ARID4A	ZC3H14	0.0486630899157272	undirected	NA	NA
ARID4A	PPP2R5E	0.0485012860892563	undirected	NA	NA
ARID4A	PCNX4	0.0324993348692945	undirected	NA	NA
ARID4A	PRPF39	0.0446429705803982	undirected	NA	NA
ARID4A	ATG2B	0.0530131486059891	undirected	NA	NA
ARID4A	SETD3	0.0417587666481945	undirected	NA	NA
ARID4A	DMAC2L	0.0511370221396533	undirected	NA	NA
ARID4A	MAP4K5	0.0445497954412448	undirected	NA	NA
ARID4A	HNRNPC	0.0426041646422296	undirected	NA	NA
ARID4A	NEMF	0.0377196690990379	undirected	NA	NA
ARID4A	IFT43	0.0556621474584516	undirected	NA	NA
ARID4A	STYX	0.0412800077537715	undirected	NA	NA
ARID4A	ACTR10	0.0455158261378885	undirected	NA	NA
ARID4A	TTLL5	0.0429015413088794	undirected	NA	NA
ARID4A	PSEN1	0.0753121164796103	undirected	NA	NA
ARID4A	SOS2	0.0466247229409128	undirected	NA	NA
ARID4A	MARK3	0.0437478141678345	undirected	NA	NA
ARID4A	ALKBH1	0.0500126023792824	undirected	NA	NA
ARID4A	YLPM1	0.0476901558851663	undirected	NA	NA
ARID4A	PPM1A	0.0460511367349248	undirected	NA	NA
ARID4A	TOGARAM1	0.0457758634232138	undirected	NA	NA
TTC8	TRIP11	0.0664405258915118	undirected	NA	NA
TTC8	SNW1	0.065245792791184	undirected	NA	NA
TTC8	PPP4R3A	0.0551654510578522	undirected	NA	NA
TTC8	MED6	0.0567765250423637	undirected	NA	NA
TTC8	RBM25	0.067130703030498	undirected	NA	NA
TTC8	DCAF5	0.0594936960623124	undirected	NA	NA
TTC8	ZC3H14	0.074607603126054	undirected	NA	NA
TTC8	PPP2R5E	0.0622778843162086	undirected	NA	NA
TTC8	PCNX4	0.0558198726918575	undirected	NA	NA
TTC8	PRPF39	0.0587781624000362	undirected	NA	NA
TTC8	ATG2B	0.0585265661371133	undirected	NA	NA
TTC8	SETD3	0.0595579198977607	undirected	NA	NA
TTC8	DMAC2L	0.0689077725257271	undirected	NA	NA
TTC8	MAP4K5	0.0582532438480213	undirected	NA	NA
