fromNode	toNode	weight	direction	fromAltName	toAltName
MT-ND4	MT-ND1	0.0352619478141358	undirected	NA	NA
MT-ND4	MT-ATP8	0.020650652348403	undirected	NA	NA
MT-ND4	MEA1	0.0243576339302267	undirected	NA	NA
MT-ND4	GPATCH4	0.0202166983725267	undirected	NA	NA
MT-ND4L	MT-CO2	0.0255416754509332	undirected	NA	NA
MT-CYB	MT-CO2	0.0234375843311243	undirected	NA	NA
MT-CYB	FP236383.1	0.0247354626668096	undirected	NA	NA
MT-CYB	MEA1	0.0265786068256188	undirected	NA	NA
MT-CYB	ENSG00000289899	0.0248162528916633	undirected	NA	NA
MT-CYB	DNAJB4	0.0257206640991485	undirected	NA	NA
MT-CYB	NOP16	0.0245349988592258	undirected	NA	NA
MT-CYB	ENSG00000305511	0.022446297733375	undirected	NA	NA
MT-CYB	ENSG00000290689	0.0208812071901514	undirected	NA	NA
MT-CYB	GPATCH4	0.0258481546574654	undirected	NA	NA
MT-CYB	HINT1	0.0240029509573091	undirected	NA	NA
MT-CO2	ENSG00000289899	0.0209556934944225	undirected	NA	NA
MT-CO2	ENSG00000305511	0.0212706508766667	undirected	NA	NA
MT-CO2	ENSG00000290689	0.021373246937393	undirected	NA	NA
MT-ND1	MT-ATP8	0.0215768665182459	undirected	NA	NA
MT-ND1	MEA1	0.0238975614519616	undirected	NA	NA
MT-ND1	PDHA1	0.0230523832883385	undirected	NA	NA
MT-ND3	MT-ATP8	0.0249312682700976	undirected	NA	NA
MT-ND3	PDHA1	0.0257304464547149	undirected	NA	NA
MT-CO3	FP671120.1	0.0296062225799649	undirected	NA	NA
MT-CO3	PTP4A2	0.029814049600073	undirected	NA	NA
MT-CO3	FP236383.1	0.028998827270312	undirected	NA	NA
MT-CO3	ENSG00000289899	0.0327582024372249	undirected	NA	NA
MT-CO3	ENSG00000286171	0.0261511962167158	undirected	NA	NA
MT-CO3	DNAJB4	0.025750926903463	undirected	NA	NA
MT-CO3	NOP16	0.0321481769656409	undirected	NA	NA
MT-CO3	ENSG00000305511	0.0319471704734173	undirected	NA	NA
MT-CO3	ENSG00000290689	0.0278011583210011	undirected	NA	NA
MT-CO3	HINT1	0.029653791639863	undirected	NA	NA
MT-ATP8	MT-CO1	0.0605542965956266	undirected	NA	NA
MT-ATP8	MEA1	0.0272031685151827	undirected	NA	NA
MT-ATP8	GPATCH4	0.0316095542709392	undirected	NA	NA
MT-ATP8	NDUFS5	0.0382434338234163	undirected	NA	NA
MT-ATP8	PDHA1	0.0626921470232905	undirected	NA	NA
MT-CO1	GPATCH4	0.0233745892600864	undirected	NA	NA
MT-CO1	NDUFS5	0.0381663332986688	undirected	NA	NA
MT-CO1	PDHA1	0.0526605533714388	undirected	NA	NA
ENSG00000310376	MEA1	0.0204707545057638	undirected	NA	NA
ENSG00000310376	GPATCH4	0.0254000373173971	undirected	NA	NA
FP671120.1	PTP4A2	0.249098978685321	undirected	NA	NA
FP671120.1	GGCT	0.133801488189719	undirected	NA	NA
FP671120.1	FP236383.1	0.225802516984791	undirected	NA	NA
FP671120.1	MEA1	0.121846574868877	undirected	NA	NA
FP671120.1	ENSG00000289899	0.248380779833953	undirected	NA	NA
FP671120.1	ENSG00000286171	0.197682353552733	undirected	NA	NA
FP671120.1	DNAJB4	0.195205845760437	undirected	NA	NA
FP671120.1	NOP16	0.241798010448261	undirected	NA	NA
FP671120.1	ENSG00000305511	0.248234010904613	undirected	NA	NA
FP671120.1	ENSG00000290689	0.220016998001566	undirected	NA	NA
FP671120.1	GPATCH4	0.0846289998713141	undirected	NA	NA
FP671120.1	HINT1	0.233649932928238	undirected	NA	NA
PTP4A2	GGCT	0.15368110337846	undirected	NA	NA
PTP4A2	FP236383.1	0.275303487272768	undirected	NA	NA
PTP4A2	MEA1	0.143355368191432	undirected	NA	NA
PTP4A2	ENSG00000289899	0.304041665558078	undirected	NA	NA
PTP4A2	ENSG00000286171	0.243021542879709	undirected	NA	NA
PTP4A2	DNAJB4	0.235720308806982	undirected	NA	NA
PTP4A2	NOP16	0.294910057690346	undirected	NA	NA
PTP4A2	ENSG00000305511	0.303659152384377	undirected	NA	NA
PTP4A2	ENSG00000290689	0.265902022448052	undirected	NA	NA
PTP4A2	GPATCH4	0.0975909813016187	undirected	NA	NA
PTP4A2	HINT1	0.284985253119675	undirected	NA	NA
GGCT	FP236383.1	0.158595732284413	undirected	NA	NA
GGCT	MEA1	0.0663545296930305	undirected	NA	NA
GGCT	ENSG00000289899	0.161254683385755	undirected	NA	NA
GGCT	ENSG00000286171	0.149637277421159	undirected	NA	NA
GGCT	DNAJB4	0.116522445418377	undirected	NA	NA
GGCT	NOP16	0.159492501945358	undirected	NA	NA
GGCT	ENSG00000305511	0.16228903412512	undirected	NA	NA
GGCT	ENSG00000290689	0.137850260795885	undirected	NA	NA
GGCT	GPATCH4	0.0496368841978266	undirected	NA	NA
GGCT	HINT1	0.157800628165151	undirected	NA	NA
FP236383.1	MEA1	0.0857148564212648	undirected	NA	NA
FP236383.1	ENSG00000289899	0.242767187373334	undirected	NA	NA
FP236383.1	ENSG00000286171	0.192517825212957	undirected	NA	NA
FP236383.1	DNAJB4	0.198695014658622	undirected	NA	NA
FP236383.1	NOP16	0.180173608165434	undirected	NA	NA
FP236383.1	ENSG00000305511	0.270824627096234	undirected	NA	NA
FP236383.1	ENSG00000290689	0.245697476819971	undirected	NA	NA
FP236383.1	GPATCH4	0.0629773723565446	undirected	NA	NA
FP236383.1	HINT1	0.206919109722341	undirected	NA	NA
MEA1	ENSG00000289899	0.134841604322141	undirected	NA	NA
MEA1	ENSG00000286171	0.0920217086256222	undirected	NA	NA
MEA1	DNAJB4	0.125852653191749	undirected	NA	NA
MEA1	NOP16	0.10234011546357	undirected	NA	NA
MEA1	ENSG00000305511	0.146887054711541	undirected	NA	NA
MEA1	ENSG00000290689	0.138467506001196	undirected	NA	NA
MEA1	GPATCH4	0.0558215637776418	undirected	NA	NA
MEA1	HINT1	0.111648799844675	undirected	NA	NA
MEA1	H3-5	0.0202567446654235	undirected	NA	NA
MEA1	PDHA1	0.0305606926013897	undirected	NA	NA
ENSG00000289899	ENSG00000286171	0.209567118686164	undirected	NA	NA
ENSG00000289899	DNAJB4	0.2212706779099	undirected	NA	NA
ENSG00000289899	NOP16	0.260650628842751	undirected	NA	NA
ENSG00000289899	ENSG00000305511	0.297971365217537	undirected	NA	NA
ENSG00000289899	ENSG00000290689	0.271822449288427	undirected	NA	NA
ENSG00000289899	GPATCH4	0.094359382505325	undirected	NA	NA
ENSG00000289899	HINT1	0.250370905639752	undirected	NA	NA
ENSG00000286171	DNAJB4	0.165731567721111	undirected	NA	NA
ENSG00000286171	NOP16	0.199694432317128	undirected	NA	NA
ENSG00000286171	ENSG00000305511	0.235734215668448	undirected	NA	NA
ENSG00000286171	ENSG00000290689	0.211076180999791	undirected	NA	NA
ENSG00000286171	GPATCH4	0.0659293498707259	undirected	NA	NA
ENSG00000286171	HINT1	0.195203966422938	undirected	NA	NA
DNAJB4	NOP16	0.215875552999928	undirected	NA	NA
DNAJB4	ENSG00000305511	0.234371955106893	undirected	NA	NA
DNAJB4	ENSG00000290689	0.216278057085677	undirected	NA	NA
DNAJB4	GPATCH4	0.0890838625899938	undirected	NA	NA
DNAJB4	HINT1	0.20534260094878	undirected	NA	NA
DNAJB4	PDHA1	0.0200032841037263	undirected	NA	NA
NOP16	ENSG00000305511	0.288787301551917	undirected	NA	NA
NOP16	ENSG00000290689	0.263876877077117	undirected	NA	NA
NOP16	GPATCH4	0.074220198640842	undirected	NA	NA
NOP16	HINT1	0.219361002334071	undirected	NA	NA
ENSG00000305511	ENSG00000290689	0.270753223300549	undirected	NA	NA
ENSG00000305511	GPATCH4	0.101785622543166	undirected	NA	NA
ENSG00000305511	HINT1	0.279681078869239	undirected	NA	NA
ENSG00000290689	GPATCH4	0.0975751785906173	undirected	NA	NA
ENSG00000290689	HINT1	0.25277037395272	undirected	NA	NA
GPATCH4	HINT1	0.0791132522330618	undirected	NA	NA
GPATCH4	NDUFS5	0.0200810755511926	undirected	NA	NA
GPATCH4	PDHA1	0.0325928930595972	undirected	NA	NA
NDUFS5	PDHA1	0.0415615841568101	undirected	NA	NA
