fromNode	toNode	weight	direction	fromAltName	toAltName
ZC3H13	RBM26	0.0673959512775875	undirected	NA	NA
ZC3H13	SUPT20H	0.0569070739387827	undirected	NA	NA
ZC3H13	ALG5	0.0558024695936201	undirected	NA	NA
ZC3H13	PAN3	0.0439266622972549	undirected	NA	NA
ZC3H13	NAA16	0.0471273520627848	undirected	NA	NA
ZC3H13	NDFIP2	0.0538495122753921	undirected	NA	NA
ZC3H13	PROSER1	0.0688439895594844	undirected	NA	NA
ZC3H13	COG6	0.0596540294979609	undirected	NA	NA
ZC3H13	UGGT2	0.067117507916854	undirected	NA	NA
ZC3H13	PIBF1	0.0596872125826874	undirected	NA	NA
ZC3H13	ABHD13	0.0444255935579019	undirected	NA	NA
ZC3H13	TPP2	0.0355405261713651	undirected	NA	NA
ZC3H13	COG3	0.0445461211728581	undirected	NA	NA
ZC3H13	AKAP11	0.0502007083980063	undirected	NA	NA
ZC3H13	GPALPP1	0.0444751267297982	undirected	NA	NA
ZC3H13	PSPC1	0.0475490914891184	undirected	NA	NA
ZC3H13	SUGT1	0.0413265955796518	undirected	NA	NA
ZC3H13	ARGLU1	0.0534610744929566	undirected	NA	NA
ZC3H13	LNX2	0.0763373628856099	undirected	NA	NA
ZC3H13	TDRD3	0.0442499812286594	undirected	NA	NA
ZC3H13	GTF2F2	0.0522526840937426	undirected	NA	NA
ZC3H13	XPO4	0.04491276677255	undirected	NA	NA
ZC3H13	ELF1	0.0670422241903909	undirected	NA	NA
ZC3H13	USP12	0.0543761513053392	undirected	NA	NA
ZC3H13	NUP58	0.0531461895155803	undirected	NA	NA
ZC3H13	CDK8	0.0426845444937478	undirected	NA	NA
ZC3H13	POLR1D	0.0602206078661862	undirected	NA	NA
ZC3H13	MRPS31	0.0429760515813468	undirected	NA	NA
ZC3H13	CDC16	0.0476523966357541	undirected	NA	NA
RBM26	SUPT20H	0.0602551413019381	undirected	NA	NA
RBM26	ALG5	0.0495846917763713	undirected	NA	NA
RBM26	PAN3	0.0557428835603158	undirected	NA	NA
RBM26	NAA16	0.0478827265608094	undirected	NA	NA
RBM26	NDFIP2	0.0490437686049727	undirected	NA	NA
RBM26	PROSER1	0.0715559932047643	undirected	NA	NA
RBM26	COG6	0.0615556954223044	undirected	NA	NA
RBM26	UGGT2	0.0744731090735735	undirected	NA	NA
RBM26	PIBF1	0.059198830770953	undirected	NA	NA
RBM26	ABHD13	0.0505464278930531	undirected	NA	NA
RBM26	TPP2	0.0382592523122171	undirected	NA	NA
RBM26	COG3	0.0410455892085971	undirected	NA	NA
RBM26	AKAP11	0.0620685783119615	undirected	NA	NA
RBM26	GPALPP1	0.0469066577099698	undirected	NA	NA
RBM26	PSPC1	0.0520819277519852	undirected	NA	NA
RBM26	SUGT1	0.0535070236468001	undirected	NA	NA
RBM26	ARGLU1	0.0505718124107718	undirected	NA	NA
RBM26	LNX2	0.0873892218045691	undirected	NA	NA
RBM26	TDRD3	0.0508030959957786	undirected	NA	NA
RBM26	GTF2F2	0.0538992980849729	undirected	NA	NA
RBM26	XPO4	0.0514667196053063	undirected	NA	NA
RBM26	ELF1	0.0802388241810055	undirected	NA	NA
RBM26	USP12	0.0584669561654102	undirected	NA	NA
RBM26	NUP58	0.0591534802779045	undirected	NA	NA
RBM26	CDK8	0.0512254641780642	undirected	NA	NA
RBM26	POLR1D	0.0607933696301827	undirected	NA	NA
RBM26	MRPS31	0.0493092165908173	undirected	NA	NA
RBM26	CDC16	0.0442788664487448	undirected	NA	NA
SUPT20H	ALG5	0.0539848514378058	undirected	NA	NA
SUPT20H	PAN3	0.051520111712316	undirected	NA	NA
SUPT20H	NAA16	0.0499311178662798	undirected	NA	NA
SUPT20H	NDFIP2	0.0531685370632519	undirected	NA	NA
SUPT20H	PROSER1	0.0719866481465452	undirected	NA	NA
SUPT20H	COG6	0.0608436043137859	undirected	NA	NA
SUPT20H	UGGT2	0.0753549240470653	undirected	NA	NA
SUPT20H	PIBF1	0.0628127384050699	undirected	NA	NA
SUPT20H	ABHD13	0.0480826788181205	undirected	NA	NA
SUPT20H	TPP2	0.0364113005359799	undirected	NA	NA
SUPT20H	COG3	0.0412872932022195	undirected	NA	NA
SUPT20H	AKAP11	0.0581526651867177	undirected	NA	NA
SUPT20H	GPALPP1	0.0467548118162988	undirected	NA	NA
SUPT20H	PSPC1	0.0539755096834946	undirected	NA	NA
SUPT20H	SUGT1	0.0463348805258987	undirected	NA	NA
SUPT20H	ARGLU1	0.0533105804228505	undirected	NA	NA
SUPT20H	LNX2	0.0903651744022743	undirected	NA	NA
SUPT20H	TDRD3	0.0492724174046331	undirected	NA	NA
SUPT20H	GTF2F2	0.050649588836925	undirected	NA	NA
SUPT20H	XPO4	0.0494076267020817	undirected	NA	NA
SUPT20H	ELF1	0.0736843230045263	undirected	NA	NA
SUPT20H	USP12	0.053000497604179	undirected	NA	NA
SUPT20H	NUP58	0.0512249530757813	undirected	NA	NA
SUPT20H	CDK8	0.0434052205824594	undirected	NA	NA
SUPT20H	POLR1D	0.054065722229567	undirected	NA	NA
SUPT20H	MRPS31	0.0420683411597142	undirected	NA	NA
SUPT20H	CDC16	0.0437838892344629	undirected	NA	NA
ALG5	PAN3	0.0614352807134845	undirected	NA	NA
ALG5	NAA16	0.0491186168791135	undirected	NA	NA
ALG5	NDFIP2	0.0416709341889954	undirected	NA	NA
ALG5	PROSER1	0.0578595239411327	undirected	NA	NA
ALG5	COG6	0.0636095289203245	undirected	NA	NA
ALG5	UGGT2	0.0733323696255206	undirected	NA	NA
ALG5	PIBF1	0.0576217365681013	undirected	NA	NA
ALG5	ABHD13	0.0547340520332219	undirected	NA	NA
ALG5	TPP2	0.0351117137961206	undirected	NA	NA
ALG5	COG3	0.0413093568566967	undirected	NA	NA
ALG5	AKAP11	0.0604212027529751	undirected	NA	NA
ALG5	GPALPP1	0.0413857572659151	undirected	NA	NA
ALG5	PSPC1	0.0485945660498533	undirected	NA	NA
ALG5	SUGT1	0.058291972661229	undirected	NA	NA
ALG5	ARGLU1	0.0500841206610033	undirected	NA	NA
ALG5	LNX2	0.084377993119493	undirected	NA	NA
ALG5	TDRD3	0.0448806666549437	undirected	NA	NA
ALG5	GTF2F2	0.0450392159196807	undirected	NA	NA
ALG5	XPO4	0.0599952952843079	undirected	NA	NA
ALG5	ELF1	0.0786570857214058	undirected	NA	NA
ALG5	USP12	0.0594404865971756	undirected	NA	NA
ALG5	NUP58	0.0599388474256193	undirected	NA	NA
ALG5	CDK8	0.04446282030518	undirected	NA	NA
ALG5	POLR1D	0.0549109950064354	undirected	NA	NA
ALG5	MRPS31	0.0532292090585379	undirected	NA	NA
ALG5	CDC16	0.0357540903333312	undirected	NA	NA
PAN3	NAA16	0.0370547032290942	undirected	NA	NA
PAN3	NDFIP2	0.0485375473898314	undirected	NA	NA
PAN3	PROSER1	0.0441463760611339	undirected	NA	NA
PAN3	COG6	0.0620049840408634	undirected	NA	NA
PAN3	UGGT2	0.0501327037469505	undirected	NA	NA
PAN3	PIBF1	0.0607501894265932	undirected	NA	NA
