nodeName	altName	nodeAttr[nodesPresent, ]
OPA1	NA	darkmagenta
ZNF148	NA	darkmagenta
U2SURP	NA	darkmagenta
SLC25A36	NA	darkmagenta
SEC22A	NA	darkmagenta
DHX36	NA	darkmagenta
ARMC8	NA	darkmagenta
GSK3B	NA	darkmagenta
RYK	NA	darkmagenta
TBC1D23	NA	darkmagenta
MRPL3	NA	darkmagenta
PDCD10	NA	darkmagenta
KPNA4	NA	darkmagenta
ACAP2	NA	darkmagenta
KPNA1	NA	darkmagenta
RASA2	NA	darkmagenta
FAM199X	NA	darkmagenta
DNAJC13	NA	darkmagenta
FXR1	NA	darkmagenta
NAA50	NA	darkmagenta
SNX4	NA	darkmagenta
ATR	NA	darkmagenta
DLG1	NA	darkmagenta
OSBPL11	NA	darkmagenta
RNF13	NA	darkmagenta
XRN1	NA	darkmagenta
TRA2B	NA	darkmagenta
NCK1	NA	darkmagenta
MIX23	NA	darkmagenta
VPS8	NA	darkmagenta
