nodeName	altName	nodeAttr[nodesPresent, ]
SETD2	NA	darkolivegreen
CLASP2	NA	darkolivegreen
RBM6	NA	darkolivegreen
CCDC66	NA	darkolivegreen
DENND6A	NA	darkolivegreen
TASOR	NA	darkolivegreen
NEK4	NA	darkolivegreen
SHQ1	NA	darkolivegreen
SACM1L	NA	darkolivegreen
SFMBT1	NA	darkolivegreen
NKTR	NA	darkolivegreen
PDCD6IP	NA	darkolivegreen
RBM5	NA	darkolivegreen
SLMAP	NA	darkolivegreen
DCP1A	NA	darkolivegreen
PBRM1	NA	darkolivegreen
DCAF1	NA	darkolivegreen
APPL1	NA	darkolivegreen
UBA3	NA	darkolivegreen
THOC7	NA	darkolivegreen
CGGBP1	NA	darkolivegreen
KLHL18	NA	darkolivegreen
OXSR1	NA	darkolivegreen
RAD54L2	NA	darkolivegreen
PRKAR2A	NA	darkolivegreen
SUCLG2	NA	darkolivegreen
UBP1	NA	darkolivegreen
GOLGA4	NA	darkolivegreen
TMF1	NA	darkolivegreen
ATXN7	NA	darkolivegreen
