nodeName	altName	nodeAttr[nodesPresent, ]
IST1	NA	darkorange
DYNC1LI2	NA	darkorange
CNOT1	NA	darkorange
RANBP10	NA	darkorange
COG4	NA	darkorange
ZC3H18	NA	darkorange
WDR59	NA	darkorange
EMC8	NA	darkorange
ZCCHC14	NA	darkorange
SF3B3	NA	darkorange
WWP2	NA	darkorange
RFWD3	NA	darkorange
CSNK2A2	NA	darkorange
TERF2	NA	darkorange
AP1G1	NA	darkorange
NUTF2	NA	darkorange
CIAPIN1	NA	darkorange
GFOD2	NA	darkorange
NUP93	NA	darkorange
PDPR2P	NA	darkorange
MTHFSD	NA	darkorange
GLG1	NA	darkorange
CTCF	NA	darkorange
CFDP1	NA	darkorange
USP10	NA	darkorange
NAE1	NA	darkorange
ATP6V0D1	NA	darkorange
DUS2	NA	darkorange
ANKRD11	NA	darkorange
PSMD7	NA	darkorange
