nodeName	altName	nodeAttr[nodesPresent, ]
METTL15	NA	darkred
FBXL17	NA	darkred
YTHDC2	NA	darkred
COMMD10	NA	darkred
RAB28	NA	darkred
ARB2A	NA	darkred
SREK1	NA	darkred
TRIM23	NA	darkred
PIK3C3	NA	darkred
PIGN	NA	darkred
GIN1	NA	darkred
PPWD1	NA	darkred
POLK	NA	darkred
TMEM161B	NA	darkred
ICE2	NA	darkred
ERBIN	NA	darkred
IKZF5	NA	darkred
CCNH	NA	darkred
DCTN4	NA	darkred
CSNK1G3	NA	darkred
WDR7	NA	darkred
SS18	NA	darkred
TRAPPC8	NA	darkred
DYM	NA	darkred
SCAMP1	NA	darkred
KIAA1328	NA	darkred
CWC27	NA	darkred
MDM1	NA	darkred
STX17	NA	darkred
PHF21A	NA	darkred
