nodeName	altName	nodeAttr[nodesPresent, ]
THSD4	NA	green
CCDC170	NA	green
TMEM26	NA	green
ESR1	NA	green
NR2E3	NA	green
KDM4B	NA	green
GFRA1	NA	green
ENSG00000303631	NA	green
CA12	NA	green
BCL2	NA	green
C5AR2	NA	green
TBC1D9	NA	green
STC2	NA	green
AC104938.1	NA	green
ENSG00000303652	NA	green
AL139383.1	NA	green
MED13L	NA	green
MIR3936HG	NA	green
DOK7	NA	green
PCSK6	NA	green
PARD6B	NA	green
ENSG00000289983	NA	green
LYPD6	NA	green
FLNB	NA	green
MRPS30-DT	NA	green
GATA3	NA	green
TLE3	NA	green
CELSR1	NA	green
MIR29B2CHG	NA	green
SLC25A35	NA	green
