nodeName	altName	nodeAttr[nodesPresent, ]
IFFO1	NA	greenyellow
GIMAP6	NA	greenyellow
RASL12	NA	greenyellow
FERMT3	NA	greenyellow
HCK	NA	greenyellow
APOE	NA	greenyellow
CALHM5	NA	greenyellow
COL8A2	NA	greenyellow
LMO2	NA	greenyellow
CARD6	NA	greenyellow
FAM89A	NA	greenyellow
MGAT3	NA	greenyellow
UNC13D	NA	greenyellow
GRAP	NA	greenyellow
GAL3ST4	NA	greenyellow
RASGRP4	NA	greenyellow
MMRN2	NA	greenyellow
NT5E	NA	greenyellow
PGF	NA	greenyellow
SIGLEC9	NA	greenyellow
RHOF	NA	greenyellow
LINC02693	NA	greenyellow
PRDM8	NA	greenyellow
AFAP1L1	NA	greenyellow
HAPLN3	NA	greenyellow
ARL4A	NA	greenyellow
NRIP2	NA	greenyellow
HIC1	NA	greenyellow
APCDD1	NA	greenyellow
CLEC11A	NA	greenyellow
