nodeName	altName	nodeAttr[nodesPresent, ]
ISG20L2	NA	ivory
C1orf43	NA	ivory
HDGF	NA	ivory
RAB25	NA	ivory
APH1A	NA	ivory
HAX1	NA	ivory
FLAD1	NA	ivory
UBQLN4	NA	ivory
ARF1	NA	ivory
ZNF687	NA	ivory
NDUFS2	NA	ivory
NCSTN	NA	ivory
PYGO2	NA	ivory
SSR2	NA	ivory
B4GALT3	NA	ivory
ADAR	NA	ivory
TAGLN2	NA	ivory
SLC25A44	NA	ivory
PMVK	NA	ivory
PSMD4	NA	ivory
SH3BP5L	NA	ivory
UFC1	NA	ivory
CRTC2	NA	ivory
SHC1	NA	ivory
CCT3	NA	ivory
VPS72	NA	ivory
SMG5	NA	ivory
SLC50A1	NA	ivory
LAMTOR2	NA	ivory
RUSC1	NA	ivory
