nodeName	altName	nodeAttr[nodesPresent, ]
PAPOLA	NA	lightgreen
ARID4A	NA	lightgreen
TTC8	NA	lightgreen
TRIP11	NA	lightgreen
SNW1	NA	lightgreen
PPP4R3A	NA	lightgreen
MED6	NA	lightgreen
RBM25	NA	lightgreen
DCAF5	NA	lightgreen
ZC3H14	NA	lightgreen
PPP2R5E	NA	lightgreen
PCNX4	NA	lightgreen
PRPF39	NA	lightgreen
ATG2B	NA	lightgreen
SETD3	NA	lightgreen
DMAC2L	NA	lightgreen
MAP4K5	NA	lightgreen
HNRNPC	NA	lightgreen
NEMF	NA	lightgreen
IFT43	NA	lightgreen
STYX	NA	lightgreen
ACTR10	NA	lightgreen
TTLL5	NA	lightgreen
PSEN1	NA	lightgreen
SOS2	NA	lightgreen
MARK3	NA	lightgreen
ALKBH1	NA	lightgreen
YLPM1	NA	lightgreen
PPM1A	NA	lightgreen
TOGARAM1	NA	lightgreen
