nodeName	altName	nodeAttr[nodesPresent, ]
PSMD2	NA	magenta
SLC25A5	NA	magenta
ATP5F1B	NA	magenta
HSPA8	NA	magenta
TPI1	NA	magenta
PSMB4	NA	magenta
PFN1	NA	magenta
TUBA1B	NA	magenta
CALR	NA	magenta
ACTB	NA	magenta
CFL1	NA	magenta
TMSB10	NA	magenta
SH3BGRL3	NA	magenta
ENO1	NA	magenta
GAPDH	NA	magenta
ILF2	NA	magenta
ALYREF	NA	magenta
NCL	NA	magenta
PPP1R14B	NA	magenta
RAN	NA	magenta
CDK4	NA	magenta
ATP5MC3	NA	magenta
HSP90AB1	NA	magenta
CKAP4	NA	magenta
SLC25A3	NA	magenta
SEPHS2	NA	magenta
SHMT2	NA	magenta
PGAM1	NA	magenta
HNRNPAB	NA	magenta
OST4	NA	magenta
