nodeName	altName	nodeAttr[nodesPresent, ]
COL6A2	NA	midnightblue
PDGFRB	NA	midnightblue
CAVIN1	NA	midnightblue
COL6A1	NA	midnightblue
ADGRA2	NA	midnightblue
EMILIN1	NA	midnightblue
MMP2	NA	midnightblue
AEBP1	NA	midnightblue
HSPG2	NA	midnightblue
CD93	NA	midnightblue
MRC2	NA	midnightblue
LRRC32	NA	midnightblue
MCAM	NA	midnightblue
LRP1	NA	midnightblue
THY1	NA	midnightblue
CD248	NA	midnightblue
ADAMTS2	NA	midnightblue
ANGPTL2	NA	midnightblue
MAP1A	NA	midnightblue
COL5A3	NA	midnightblue
TIE1	NA	midnightblue
PEAR1	NA	midnightblue
PODN	NA	midnightblue
MXRA5	NA	midnightblue
MFAP4	NA	midnightblue
CDH5	NA	midnightblue
ADGRF5	NA	midnightblue
COL16A1	NA	midnightblue
SERPINF1	NA	midnightblue
FLNC	NA	midnightblue
