nodeName	altName	nodeAttr[nodesPresent, ]
FBN1	NA	purple
ZEB1	NA	purple
FAP	NA	purple
VCAN	NA	purple
GXYLT2	NA	purple
COL6A3	NA	purple
COL1A2	NA	purple
PRRX1	NA	purple
BNC2	NA	purple
SPARC	NA	purple
DPYSL3	NA	purple
SFRP2	NA	purple
VIM	NA	purple
AC079298.3	NA	purple
COL5A2	NA	purple
TMEM200A	NA	purple
CCN4	NA	purple
CHSY3	NA	purple
POSTN	NA	purple
LAMB1	NA	purple
FNDC1	NA	purple
FN1	NA	purple
ROR1	NA	purple
ADGRL2	NA	purple
CDH11	NA	purple
ADAMTS6	NA	purple
CCDC80	NA	purple
NID2	NA	purple
DNM3OS	NA	purple
CALD1	NA	purple
