nodeName	altName	nodeAttr[nodesPresent, ]
HGS	NA	saddlebrown
RFNG	NA	saddlebrown
FAAP100	NA	saddlebrown
SGSH	NA	saddlebrown
EXOC7	NA	saddlebrown
SLC38A10	NA	saddlebrown
CSNK1D	NA	saddlebrown
GGA3	NA	saddlebrown
UBE2O	NA	saddlebrown
ASPSCR1	NA	saddlebrown
SAP30BP	NA	saddlebrown
NAT9	NA	saddlebrown
DUS1L	NA	saddlebrown
CYBC1	NA	saddlebrown
CASKIN2	NA	saddlebrown
RECQL5	NA	saddlebrown
HEXD	NA	saddlebrown
EVPL	NA	saddlebrown
GPS1	NA	saddlebrown
ENGASE	NA	saddlebrown
TMEM94	NA	saddlebrown
NPLOC4	NA	saddlebrown
RPTOR	NA	saddlebrown
FOXK2	NA	saddlebrown
TBCD	NA	saddlebrown
LLGL2	NA	saddlebrown
CCDC57	NA	saddlebrown
SLC26A11	NA	saddlebrown
ARHGDIA	NA	saddlebrown
ANAPC11	NA	saddlebrown
