nodeName	altName	nodeAttr[nodesPresent, ]
SUPT6H	NA	sienna3
SDF2	NA	sienna3
BLTP2	NA	sienna3
FLOT2	NA	sienna3
POLDIP2	NA	sienna3
FAM222B	NA	sienna3
TNFAIP1	NA	sienna3
TRAF4	NA	sienna3
PHF12	NA	sienna3
STARD3	NA	sienna3
PGAP3	NA	sienna3
ERBB2	NA	sienna3
GRB7	NA	sienna3
ERAL1	NA	sienna3
MED1	NA	sienna3
MIEN1	NA	sienna3
MYO18A	NA	sienna3
IFT20	NA	sienna3
CDK12	NA	sienna3
FBXL20	NA	sienna3
NEK8	NA	sienna3
LASP1	NA	sienna3
PIPOX	NA	sienna3
PSMD3	NA	sienna3
CASC3	NA	sienna3
RPL19	NA	sienna3
MSL1	NA	sienna3
MED24	NA	sienna3
WIPF2	NA	sienna3
DHRS13	NA	sienna3
