nodeName	altName	nodeAttr[nodesPresent, ]
ZC3H13	NA	skyblue
RBM26	NA	skyblue
SUPT20H	NA	skyblue
ALG5	NA	skyblue
PAN3	NA	skyblue
NAA16	NA	skyblue
NDFIP2	NA	skyblue
PROSER1	NA	skyblue
COG6	NA	skyblue
UGGT2	NA	skyblue
PIBF1	NA	skyblue
ABHD13	NA	skyblue
TPP2	NA	skyblue
COG3	NA	skyblue
AKAP11	NA	skyblue
GPALPP1	NA	skyblue
PSPC1	NA	skyblue
SUGT1	NA	skyblue
ARGLU1	NA	skyblue
LNX2	NA	skyblue
TDRD3	NA	skyblue
GTF2F2	NA	skyblue
XPO4	NA	skyblue
ELF1	NA	skyblue
USP12	NA	skyblue
NUP58	NA	skyblue
CDK8	NA	skyblue
POLR1D	NA	skyblue
MRPS31	NA	skyblue
CDC16	NA	skyblue
