nodeName	altName	nodeAttr[nodesPresent, ]
RNF214	NA	skyblue3
DLAT	NA	skyblue3
NPAT	NA	skyblue3
DCUN1D5	NA	skyblue3
NKAPD1	NA	skyblue3
ZBTB44	NA	skyblue3
ZW10	NA	skyblue3
USP28	NA	skyblue3
CUL5	NA	skyblue3
KMT2A	NA	skyblue3
UBE4A	NA	skyblue3
AASDHPPT	NA	skyblue3
ARHGEF12	NA	skyblue3
BUD13	NA	skyblue3
DDX10	NA	skyblue3
DDX6	NA	skyblue3
CWF19L2	NA	skyblue3
PAFAH1B2	NA	skyblue3
CEP295	NA	skyblue3
KBTBD3	NA	skyblue3
DIXDC1	NA	skyblue3
NCAPD3	NA	skyblue3
ARHGAP32	NA	skyblue3
CBL	NA	skyblue3
SNX19	NA	skyblue3
TBRG1	NA	skyblue3
MSANTD2	NA	skyblue3
ATM	NA	skyblue3
ARCN1	NA	skyblue3
AP002884.3	NA	skyblue3
