nodeName	altName	nodeAttr[nodesPresent, ]
PKN2	NA	steelblue
AGO3	NA	steelblue
STXBP3	NA	steelblue
ZNF326	NA	steelblue
PTBP2	NA	steelblue
TRMT13	NA	steelblue
ZMYM4	NA	steelblue
SRSF11	NA	steelblue
LRRC40	NA	steelblue
ANKRD13C	NA	steelblue
ZRANB2	NA	steelblue
MTF2	NA	steelblue
MIER1	NA	steelblue
TRIM33	NA	steelblue
SRSF10	NA	steelblue
KDM1A	NA	steelblue
ZZZ3	NA	steelblue
C1orf52	NA	steelblue
EVI5	NA	steelblue
FAF1	NA	steelblue
RPAP2	NA	steelblue
NIPBL	NA	steelblue
CEPT1	NA	steelblue
RTCA	NA	steelblue
FUBP1	NA	steelblue
PUM1	NA	steelblue
SELENOF	NA	steelblue
RBBP4	NA	steelblue
HOOK1	NA	steelblue
KYAT3	NA	steelblue
