nodeName	altName	nodeAttr[nodesPresent, ]
IFIT1	NA	violet
MX1	NA	violet
IFIT3	NA	violet
OAS2	NA	violet
DDX60	NA	violet
IFI44	NA	violet
IFI44L	NA	violet
OAS3	NA	violet
OAS1	NA	violet
CMPK2	NA	violet
XAF1	NA	violet
IFI6	NA	violet
PARP14	NA	violet
RSAD2	NA	violet
STAT1	NA	violet
NRIR	NA	violet
ENSG00000287188	NA	violet
HERC6	NA	violet
IFIH1	NA	violet
PARP9	NA	violet
IFIT5	NA	violet
SP100	NA	violet
IFIT2	NA	violet
UBE2L6	NA	violet
DDX60L	NA	violet
EIF2AK2	NA	violet
OASL	NA	violet
PARP12	NA	violet
SAMD9	NA	violet
SP110	NA	violet
