"module","rank","gene_id","gene_symbol","intramod_conn"
"green",1,"ENSG00000187720","THSD4",68.4587
"green",2,"ENSG00000120262","CCDC170",60.364
"green",3,"ENSG00000196932","TMEM26",59.1219
"green",4,"ENSG00000091831","ESR1",56.7506
"green",5,"ENSG00000278570","NR2E3",56.5601
"green",6,"ENSG00000127663","KDM4B",56.297
"green",7,"ENSG00000151892","GFRA1",54.4385
"green",8,"ENSG00000303631","ENSG00000303631",52.5733
"green",9,"ENSG00000074410","CA12",51.7631
"green",10,"ENSG00000171791","BCL2",51.2817
"green",11,"ENSG00000134830","C5AR2",50.4599
"green",12,"ENSG00000109436","TBC1D9",49.8568
"green",13,"ENSG00000113739","STC2",48.8158
"green",14,"ENSG00000260037","AC104938.1",48.0153
"green",15,"ENSG00000303652","ENSG00000303652",47.1568
"green",16,"ENSG00000230490","AL139383.1",45.84
"green",17,"ENSG00000123066","MED13L",45.4734
"green",18,"ENSG00000233006","MIR3936HG",45.34
"green",19,"ENSG00000175920","DOK7",45.3157
"green",20,"ENSG00000140479","PCSK6",44.8432
"green",21,"ENSG00000124171","PARD6B",43.7873
"green",22,"ENSG00000289983","ENSG00000289983",43.5343
"green",23,"ENSG00000187123","LYPD6",43.3547
"green",24,"ENSG00000136068","FLNB",43.1215
"green",25,"ENSG00000251141","MRPS30-DT",43.0678
"green",26,"ENSG00000107485","GATA3",42.9496
"green",27,"ENSG00000140332","TLE3",42.6118
"green",28,"ENSG00000075275","CELSR1",42.2216
"green",29,"ENSG00000203709","MIR29B2CHG",42.1359
"green",30,"ENSG00000125434","SLC25A35",42.0134
"sienna3",1,"ENSG00000109111","SUPT6H",4.113
"sienna3",2,"ENSG00000132581","SDF2",3.9814
"sienna3",3,"ENSG00000007202","BLTP2",3.9248
"sienna3",4,"ENSG00000132589","FLOT2",3.7129
"sienna3",5,"ENSG00000004142","POLDIP2",3.5498
"sienna3",6,"ENSG00000173065","FAM222B",3.4703
"sienna3",7,"ENSG00000109079","TNFAIP1",3.3652
"sienna3",8,"ENSG00000076604","TRAF4",3.2477
"sienna3",9,"ENSG00000109118","PHF12",3.2293
"sienna3",10,"ENSG00000131748","STARD3",3.0961
"sienna3",11,"ENSG00000161395","PGAP3",3.0722
"sienna3",12,"ENSG00000141736","ERBB2",3.03
"sienna3",13,"ENSG00000141738","GRB7",2.9206
"sienna3",14,"ENSG00000132591","ERAL1",2.7526
"sienna3",15,"ENSG00000125686","MED1",2.7465
"sienna3",16,"ENSG00000141741","MIEN1",2.6677
"sienna3",17,"ENSG00000196535","MYO18A",2.6435
"sienna3",18,"ENSG00000109083","IFT20",2.627
"sienna3",19,"ENSG00000167258","CDK12",2.6239
"sienna3",20,"ENSG00000108306","FBXL20",2.5172
"sienna3",21,"ENSG00000160602","NEK8",2.4237
"sienna3",22,"ENSG00000002834","LASP1",2.187
"sienna3",23,"ENSG00000179761","PIPOX",2.1772
"sienna3",24,"ENSG00000108344","PSMD3",2.1293
"sienna3",25,"ENSG00000108349","CASC3",2.101
"sienna3",26,"ENSG00000108298","RPL19",2.0876
"sienna3",27,"ENSG00000188895","MSL1",2.0774
"sienna3",28,"ENSG00000008838","MED24",2.0707
"sienna3",29,"ENSG00000171475","WIPF2",1.9415
"sienna3",30,"ENSG00000167536","DHRS13",1.8852
"turquoise",1,"ENSG00000185811","IKZF1",257.6823
"turquoise",2,"ENSG00000134516","DOCK2",240.5708
"turquoise",3,"ENSG00000081237","PTPRC",235.6943
"turquoise",4,"ENSG00000166501","PRKCB",234.6846
"turquoise",5,"ENSG00000128815","WDFY4",227.3069
"turquoise",6,"ENSG00000153283","CD96",226.0446
"turquoise",7,"ENSG00000162739","SLAMF6",211.5428
"turquoise",8,"ENSG00000143119","CD53",211.4647
"turquoise",9,"ENSG00000198821","CD247",211.0323
"turquoise",10,"ENSG00000198846","TOX",211.0251
"turquoise",11,"ENSG00000123338","NCKAP1L",209.3846
"turquoise",12,"ENSG00000075884","ARHGAP15",209.0503
"turquoise",13,"ENSG00000198286","CARD11",207.0882
"turquoise",14,"ENSG00000065675","PRKCQ",204.2485
"turquoise",15,"ENSG00000146285","SCML4",203.9742
"turquoise",16,"ENSG00000082074","FYB1",201.574
"turquoise",17,"ENSG00000136250","AOAH",199.2016
"turquoise",18,"ENSG00000152495","CAMK4",198.4467
"turquoise",19,"ENSG00000009790","TRAF3IP3",197.0765
"turquoise",20,"ENSG00000291143","ENSG00000291143",195.1818
"turquoise",21,"ENSG00000115232","ITGA4",194.8866
"turquoise",22,"ENSG00000103522","IL21R",194.438
"turquoise",23,"ENSG00000101445","PPP1R16B",194.0153
"turquoise",24,"ENSG00000205045","SLFN12L",190.5618
"turquoise",25,"ENSG00000110324","IL10RA",186.7963
"turquoise",26,"ENSG00000186469","GNG2",186.5206
"turquoise",27,"ENSG00000179583","CIITA",184.0849
"turquoise",28,"ENSG00000178562","CD28",182.6404
"turquoise",29,"ENSG00000113263","ITK",181.7027
"turquoise",30,"ENSG00000077420","APBB1IP",179.9585
"blue",1,"ENSG00000029725","RABEP1",63.7293
"blue",2,"ENSG00000197776","KLHDC1",60.3215
"blue",3,"ENSG00000168038","ULK4",60.0357
"blue",4,"ENSG00000114670","NEK11",59.8592
"blue",5,"ENSG00000102362","SYTL4",58.0147
"blue",6,"ENSG00000186976","EFCAB6",57.3816
"blue",7,"ENSG00000114988","LMAN2L",56.0746
"blue",8,"ENSG00000166167","BTRC",56.0736
"blue",9,"ENSG00000119636","BBOF1",55.3243
"blue",10,"ENSG00000133121","STARD13",53.0857
"blue",11,"ENSG00000118307","DNAI7",52.228
"blue",12,"ENSG00000170959","DCDC1",51.7926
"blue",13,"ENSG00000224260","AL023754.1",51.198
"blue",14,"ENSG00000138613","APH1B",50.8174
"blue",15,"ENSG00000088543","C3orf18",50.3585
"blue",16,"ENSG00000107829","FBXW4",50.3376
"blue",17,"ENSG00000197748","CFAP43",49.7511
"blue",18,"ENSG00000165113","GKAP1",49.6977
"blue",19,"ENSG00000080823","MOK",49.4897
"blue",20,"ENSG00000140527","WDR93",48.804
"blue",21,"ENSG00000175356","SCUBE2",48.7309
"blue",22,"ENSG00000103599","IQCH",48.3608
"blue",23,"ENSG00000245849","RAD51-AS1",47.4537
"blue",24,"ENSG00000078674","PCM1",45.9062
"blue",25,"ENSG00000290476","ENSG00000290476",45.7092
"blue",26,"ENSG00000154099","DNAAF1",45.5932
"blue",27,"ENSG00000032742","IFT88",44.8926
"blue",28,"ENSG00000134352","IL6ST",44.7879
"blue",29,"ENSG00000163728","TTC14",43.339
"blue",30,"ENSG00000148225","WDR31",43.2432
"black",1,"ENSG00000090889","KIF4A",72.6346
"black",2,"ENSG00000088325","TPX2",72.3694
"black",3,"ENSG00000051341","POLQ",70.685
"black",4,"ENSG00000102384","CENPI",67.4448
"black",5,"ENSG00000123485","HJURP",67.1403
"black",6,"ENSG00000169679","BUB1",66.7789
"black",7,"ENSG00000109805","NCAPG",65.8794
"black",8,"ENSG00000165304","MELK",65.4353
"black",9,"ENSG00000066279","ASPM",64.5811
"black",10,"ENSG00000137812","KNL1",63.9713
"black",11,"ENSG00000148773","MKI67",63.4147
"black",12,"ENSG00000169607","CKAP2L",63.1342
