"module","n_genes","pct_lncRNA","n_traits_sig","significant_traits","C1_positional","GO_BP","Hallmark","Reactome","rescued_by","scope"
"yellowgreen",130,13.1,0,"—",0,0,0,0,"None","Exclude: no trait, no biology"
"plum1",115,12.2,0,"—",0,0,0,0,"None","Exclude: no trait, no biology"
"brown",2813,58.4,0,"—",3,12,0,9,"GO BP","Include: biology only"
"salmon",2524,26.2,0,"—",9,197,1,37,"Hallmark","Include: biology only"
"red",1135,39.6,0,"—",11,340,13,205,"Hallmark","Include: biology only"
"tan",726,93.7,0,"—",0,6,0,0,"GO BP","Include: biology only"
"cyan",466,24.5,0,"—",6,75,1,4,"Hallmark","Include: biology only"
"lightcyan",427,29.7,0,"—",7,25,0,17,"GO BP","Include: biology only"
"grey60",346,14.2,0,"—",4,0,0,3,"Reactome","Include: biology only"
"lightyellow",335,40,0,"—",0,0,2,0,"Hallmark","Include: biology only"
"royalblue",334,30.8,0,"—",9,25,0,0,"GO BP","Include: biology only"
"darkgreen",296,30.1,0,"—",0,52,3,31,"Hallmark","Include: biology only"
"darkgrey",283,24.7,0,"—",5,7,0,1,"GO BP","Include: biology only"
"white",236,39.8,0,"—",1,14,0,0,"GO BP","Include: biology only"
"paleturquoise",168,18.5,0,"—",2,0,0,0,"C1 positional","Include: biology only"
"orangered4",114,10.5,0,"—",2,0,0,0,"C1 positional","Include: biology only"
"mediumpurple3",103,22.3,0,"—",1,1,0,0,"GO BP","Include: biology only"
"floralwhite",57,12.3,0,"—",1,12,2,7,"Hallmark","Include: biology only"
"turquoise",3886,54.6,4,"ER, PR, HER2, grade",2,882,12,115,"Hallmark","Include: trait + biology"
"blue",2861,49.4,4,"grade, PR, ER, HER2",0,27,0,0,"GO BP","Include: trait + biology"
"green",1820,44.8,4,"ER, PR, HER2, grade",1,14,4,0,"Hallmark","Include: trait + biology"
"black",1077,28.4,4,"grade, ER, PR, HER2",1,279,9,117,"Hallmark","Include: trait + biology"
"pink",1005,55.2,1,"PR",0,279,7,18,"Hallmark","Include: trait + biology"
"magenta",987,45.4,3,"HER2, grade, PR",1,303,7,305,"Hallmark","Include: trait + biology"
"purple",834,48.4,3,"PR, grade, ER",0,217,7,40,"Hallmark","Include: trait + biology"
"greenyellow",774,55.9,2,"PR, grade",0,130,0,2,"GO BP","Include: trait + biology"
"midnightblue",437,31.4,1,"grade",0,213,6,17,"Hallmark","Include: trait + biology"
"lightgreen",335,29.3,1,"grade",7,32,0,10,"GO BP","Include: trait + biology"
"orange",260,21.9,1,"grade",0,0,7,3,"Hallmark","Include: trait + biology"
"darkorange",254,24.4,2,"PR, ER",2,2,0,0,"GO BP","Include: trait + biology"
"skyblue",230,17.4,1,"grade",4,0,0,1,"Reactome","Include: trait + biology"
"saddlebrown",193,29,1,"HER2",1,16,1,2,"Hallmark","Include: trait + biology"
"steelblue",193,18.1,2,"grade, HER2",3,0,0,0,"C1 positional","Include: trait + biology"
"violet",150,42,1,"HER2",2,82,2,11,"Hallmark","Include: trait + biology"
"darkolivegreen",144,8.3,4,"grade, PR, HER2, ER",2,0,0,0,"C1 positional","Include: trait + biology"
"sienna3",132,37.1,1,"HER2",1,0,0,0,"C1 positional","Include: trait + biology"
"lightsteelblue1",101,57.4,3,"grade, PR, HER2",1,37,0,6,"GO BP","Include: trait + biology"
"lightcyan1",87,8,2,"PR, grade",1,1,0,0,"GO BP","Include: trait + biology"
"darkred",589,15.6,4,"grade, PR, ER, HER2",0,0,0,0,"None","Include: trait only"
"darkmagenta",138,2.9,1,"case_control",0,0,0,0,"None","Include: trait only"
"skyblue3",116,16.4,1,"grade",0,0,0,0,"None","Include: trait only"
"ivory",77,13,1,"grade",0,0,0,0,"None","Include: trait only"
