"module","batch_aov_p","batch_aov_FDR","cc_cor","batch_driven"
"lightsteelblue1",4.19e-06,0.00018,0.26,TRUE
"darkgreen",0.000141,0.00304,0.071,TRUE
"magenta",0.000259,0.00372,0.272,TRUE
"turquoise",0.000834,0.00896,0.25,TRUE
"black",0.00162,0.0139,0.266,TRUE
"salmon",0.00559,0.04,-0.162,TRUE
"red",0.0085,0.0522,0.047,FALSE
"green",0.0108,0.0583,-0.145,FALSE
"pink",0.0464,0.207,0.091,FALSE
"plum1",0.05,0.207,-0.012,FALSE
"grey60",0.0626,0.207,0.09,FALSE
"cyan",0.0702,0.207,0.132,FALSE
"sienna3",0.0764,0.207,0.201,FALSE
"paleturquoise",0.0775,0.207,-0.172,FALSE
"darkorange",0.0787,0.207,0.083,FALSE
"ivory",0.0787,0.207,0.078,FALSE
"greenyellow",0.0818,0.207,0.098,FALSE
"yellowgreen",0.119,0.267,-0.064,FALSE
"mediumpurple3",0.122,0.267,0.179,FALSE
"floralwhite",0.13,0.267,-0.091,FALSE
"purple",0.131,0.267,0.186,FALSE
"darkgrey",0.142,0.278,-0.083,FALSE
"brown",0.169,0.31,0.075,FALSE
"darkred",0.173,0.31,0.046,FALSE
"darkmagenta",0.183,0.315,0.256,FALSE
"blue",0.193,0.32,-0.071,FALSE
"midnightblue",0.232,0.357,0.02,FALSE
"lightcyan",0.232,0.357,0.054,FALSE
"lightcyan1",0.25,0.362,-0.038,FALSE
"orangered4",0.253,0.362,-0.033,FALSE
"saddlebrown",0.287,0.391,-0.168,FALSE
"grey",0.291,0.391,0.253,FALSE
"tan",0.336,0.438,0.127,FALSE
"royalblue",0.454,0.573,0.099,FALSE
"steelblue",0.475,0.573,-0.028,FALSE
"skyblue3",0.479,0.573,-0.137,FALSE
"white",0.605,0.703,-0.047,FALSE
"lightgreen",0.667,0.754,-0.014,FALSE
"orange",0.738,0.798,0.037,FALSE
"skyblue",0.743,0.798,0.116,FALSE
"violet",0.762,0.799,0.25,FALSE
"lightyellow",0.797,0.816,-0.076,FALSE
"darkolivegreen",0.93,0.93,0.014,FALSE
