"module","lncRNA","protein_coding","other_ncRNA","mapped_total","pct_lncRNA","pct_coding"
"tan",680,46,0,726,93.7,6.3
"grey",241,73,0,314,76.8,23.2
"brown",1644,1169,0,2813,58.4,41.6
"lightsteelblue1",58,43,0,101,57.4,42.6
"greenyellow",433,341,0,774,55.9,44.1
"pink",555,450,0,1005,55.2,44.8
"turquoise",2123,1763,0,3886,54.6,45.4
"blue",1414,1447,0,2861,49.4,50.6
"purple",404,430,0,834,48.4,51.6
"magenta",448,539,0,987,45.4,54.6
"green",816,1004,0,1820,44.8,55.2
"violet",63,87,0,150,42,58
"lightyellow",134,201,0,335,40,60
"white",94,142,0,236,39.8,60.2
"red",450,685,0,1135,39.6,60.4
"sienna3",49,83,0,132,37.1,62.9
"midnightblue",137,300,0,437,31.4,68.6
"royalblue",103,231,0,334,30.8,69.2
"darkgreen",89,207,0,296,30.1,69.9
"lightcyan",127,300,0,427,29.7,70.3
"lightgreen",98,237,0,335,29.3,70.7
"saddlebrown",56,137,0,193,29,71
"black",306,771,0,1077,28.4,71.6
"salmon",661,1863,0,2524,26.2,73.8
"darkgrey",70,213,0,283,24.7,75.3
"cyan",114,352,0,466,24.5,75.5
"darkorange",62,192,0,254,24.4,75.6
"mediumpurple3",23,80,0,103,22.3,77.7
"orange",57,203,0,260,21.9,78.1
"paleturquoise",31,137,0,168,18.5,81.5
"steelblue",35,158,0,193,18.1,81.9
"skyblue",40,190,0,230,17.4,82.6
"skyblue3",19,97,0,116,16.4,83.6
"darkred",92,497,0,589,15.6,84.4
"grey60",49,297,0,346,14.2,85.8
"yellowgreen",17,113,0,130,13.1,86.9
"ivory",10,67,0,77,13,87
"floralwhite",7,50,0,57,12.3,87.7
"plum1",14,101,0,115,12.2,87.8
"orangered4",12,102,0,114,10.5,89.5
"darkolivegreen",12,132,0,144,8.3,91.7
"lightcyan1",7,80,0,87,8,92
"darkmagenta",4,134,0,138,2.9,97.1
